Seconds	Methods
10	10
20	10
30	10
40	15
50	15
60	15
70	15
80	15
90	15
100	15
110	15
120	15
130	16
140	16
150	16
160	16
170	16
180	16
190	16
200	16
210	16
220	16
230	16
240	16
250	16
260	16
270	16
280	16
290	16
300	16
310	16
320	16
330	16
340	16
350	16
360	16
370	16
380	16
390	16
400	16
410	16
420	16
430	16
440	16
450	16
460	16
470	16
480	16
490	16
500	16
510	16
520	16
530	16
540	16
550	16
560	16
570	16
580	16
590	16
600	16
610	16
620	16
630	16
640	16
650	16
660	16
670	16
680	16
690	16
700	16
710	16
720	16
730	16
740	16
750	16
760	16
770	16
780	16
790	16
800	16
810	16
820	16
830	16
840	16
850	16
860	16
870	16
880	16
890	16
900	16
910	16
920	16
930	16
940	16
950	16
960	16
970	16
980	16
990	16
1000	16
1010	16
1020	16
1030	16
1040	16
1050	16
1060	16
1070	16
1080	16
1090	16
1100	16
1110	16
1120	16
1130	16
1140	16
1150	16
1160	16
1170	16
1180	16
1190	16
1200	16
1210	16
1220	16
1230	16
1240	16
1250	16
1260	16
1270	16
1280	16
1290	16
1300	16
1310	16
1320	16
1330	16
1340	16
1350	16
1360	16
1370	16
1380	16
1390	16
1400	16
1410	16
1420	16
1430	16
1440	16
1450	16
1460	16
1470	16
1480	16
1490	16
1500	16
1510	16
1520	16
1530	16
1540	16
1550	16
1560	16
1570	16
1580	16
1590	16
1600	16
1610	16
1620	16
1630	16
1640	16
1650	16
1660	16
1670	16
1680	16
1690	16
1700	16
1710	16
1720	16
1730	16
1740	16
1750	16
1760	16
1770	16
1780	16
1790	28
1800	28
1810	28
1820	28
1830	28
1840	28
1850	28
1860	28
1870	28
1880	28
1890	28
1900	28
1910	28
1920	28
1930	28
1940	28
1950	28
1960	28
1970	28
1980	28
1990	28
2000	28
2010	28
2020	28
2030	28
2040	28
2050	28
2060	28
2070	29
2080	29
2090	29
2100	29
2110	29
2120	29
2130	29
2140	29
2150	29
2160	29
2170	29
2180	29
2190	29
2200	29
2210	29
2220	29
2230	29
2240	29
2250	29
2260	29
2270	29
2280	29
2290	29
2300	29
2310	29
2320	29
2330	29
2340	29
2350	29
2360	29
2370	29
2380	29
2390	29
2400	29
2410	29
2420	29
2430	29
2440	29
2450	29
2460	29
2470	29
2480	29
2490	29
2500	29
2510	29
2520	29
2530	29
2540	29
2550	29
2560	29
2570	29
2580	29
2590	29
2600	29
2610	29
2620	29
2630	29
2640	29
2650	29
2660	29
2670	55
2680	55
2690	55
2700	55
2710	55
2720	55
2730	55
2740	55
2750	55
2760	55
2770	55
2780	55
2790	55
2800	55
2810	55
2820	55
2830	55
2840	55
2850	55
2860	55
2870	55
2880	55
2890	55
2900	55
2910	55
2920	55
2930	55
2940	55
2950	55
2960	55
2970	55
2980	55
2990	55
3000	55
3010	55
3020	55
3030	55
3040	55
3050	55
3060	55
3070	55
3080	55
3090	55
3100	55
3110	55
3120	55
3130	55
3140	55
3150	55
3160	55
3170	55
3180	55
3190	55
3200	55
3210	55
3220	55
3230	55
3240	55
3250	55
3260	55
3270	55
3280	55
3290	55
3300	55
3310	55
3320	55
3330	55
3340	55
3350	55
3360	55
3370	55
3380	55
3390	55
3400	55
3410	55
3420	55
3430	55
3440	55
3450	55
3460	55
3470	55
3480	55
3490	55
3500	55
3510	55
3520	55
3530	55
3540	55
3550	55
3560	55
3570	55
3580	55
3590	55
3600	55
3610	55
3620	55
3630	55
3640	55
3650	55
3660	55
3670	55
3680	55
3690	55
3700	55
3710	55
3720	55
3730	55
3740	55
3750	55
3760	55
3770	55
3780	55
3790	55
3800	55
3810	55
3820	55
3830	55
3840	55
3850	55
3860	55
3870	55
3880	55
3890	55
3900	55
3910	55
3920	55
3930	55
3940	55
3950	55
3960	55
3970	55
3980	55
3990	55
4000	55
4010	55
4020	55
4030	55
4040	55
4050	55
4060	55
4070	55
4080	55
4090	55
4100	55
4110	55
4120	55
4130	55
4140	55
4150	55
4160	55
4170	55
4180	55
4190	55
4200	55
4210	55
4220	55
4230	55
4240	55
4250	55
4260	55
4270	55
4280	55
4290	55
4300	55
4310	55
4320	55
4330	55
4340	55
4350	55
4360	55
4370	55
4380	55
4390	55
4400	55
4410	55
4420	55
4430	55
4440	55
4450	55
4460	55
4470	55
4480	55
4490	55
4500	55
4510	55
4520	55
4530	55
4540	55
4550	55
4560	55
4570	55
4580	55
4590	55
4600	55
4610	55
4620	55
4630	55
4640	55
4650	55
4660	55
4670	55
4680	55
4690	55
4700	55
4710	55
4720	55
4730	55
4740	55
4750	55
4760	55
4770	55
4780	55
4790	55
4800	55
4810	55
4820	55
4830	55
4840	55
4850	55
4860	55
4870	55
4880	55
4890	55
4900	55
4910	55
4920	55
4930	55
4940	55
4950	55
4960	55
4970	55
4980	55
4990	55
5000	55
5010	55
5020	55
5030	55
5040	55
5050	55
5060	55
5070	55
5080	55
5090	55
5100	55
5110	55
5120	55
5130	55
5140	55
5150	55
5160	55
5170	55
5180	55
5190	55
5200	55
5210	55
5220	55
5230	55
5240	55
5250	55
5260	55
5270	55
5280	55
5290	55
5300	55
5310	55
5320	55
5330	55
5340	55
5350	55
5360	55
5370	55
5380	55
5390	55
5400	55
5410	55
5420	55
5430	55
5440	55
5450	55
5460	55
5470	55
5480	55
5490	55
