Seconds	Methods
10	3
20	3
30	3
40	3
50	3
60	3
70	7
80	7
90	7
100	7
110	7
120	7
130	7
140	7
150	7
160	7
170	7
180	7
190	7
200	7
210	7
220	7
230	7
240	7
250	7
260	7
270	7
280	7
290	7
300	7
310	7
320	7
330	7
340	7
350	7
360	7
370	7
380	7
390	7
400	7
410	7
420	7
430	7
440	7
450	7
460	7
470	7
480	7
490	7
500	7
510	7
520	7
530	7
540	7
550	7
560	7
570	7
580	7
590	7
600	8
610	8
620	8
630	8
640	8
650	8
660	8
670	8
680	8
690	8
700	8
710	8
720	8
730	8
740	8
750	8
760	8
770	8
780	8
790	8
800	8
810	8
820	8
830	8
840	8
850	8
860	8
870	8
880	8
890	8
900	8
910	8
920	8
930	8
940	8
950	8
960	8
970	8
980	8
990	8
1000	8
1010	8
1020	8
1030	8
1040	8
1050	8
1060	8
1070	8
1080	8
1090	8
1100	8
1110	8
1120	8
1130	8
1140	8
1150	8
1160	8
1170	8
1180	8
1190	8
1200	8
1210	8
1220	8
1230	8
1240	8
1250	8
1260	8
1270	8
1280	8
1290	8
1300	8
1310	8
1320	8
1330	8
1340	8
1350	8
1360	8
1370	8
1380	8
1390	8
1400	8
1410	8
1420	8
1430	8
1440	8
1450	8
1460	8
1470	8
1480	8
1490	8
1500	8
1510	8
1520	8
1530	8
1540	8
1550	8
1560	8
1570	8
1580	8
1590	8
1600	8
1610	8
1620	8
1630	8
1640	8
1650	8
1660	8
1670	8
1680	8
1690	8
1700	8
1710	8
1720	8
1730	8
1740	8
1750	8
1760	8
1770	8
1780	8
1790	8
1800	8
1810	8
1820	8
1830	8
1840	8
1850	8
1860	8
1870	8
1880	8
1890	8
1900	8
1910	8
1920	8
1930	8
1940	8
1950	8
1960	8
1970	8
1980	8
1990	8
2000	8
2010	8
2020	8
2030	8
2040	8
2050	8
2060	8
2070	8
2080	8
2090	8
2100	8
2110	8
2120	8
2130	8
2140	8
2150	8
2160	8
2170	8
2180	8
2190	8
2200	8
2210	8
2220	8
2230	8
2240	8
2250	8
2260	8
2270	8
2280	8
2290	8
2300	8
2310	8
2320	8
2330	8
2340	8
2350	8
2360	8
2370	8
2380	8
2390	9
2400	9
2410	9
2420	9
2430	9
2440	9
2450	9
2460	9
2470	9
2480	9
2490	9
2500	9
2510	9
2520	9
2530	9
2540	9
2550	9
2560	9
2570	9
2580	13
2590	13
2600	13
2610	13
2620	13
2630	13
2640	13
2650	13
2660	13
2670	13
2680	13
2690	13
2700	13
2710	13
2720	13
2730	13
2740	13
2750	13
2760	13
2770	13
2780	13
2790	13
2800	13
2810	13
2820	13
2830	13
2840	13
2850	13
2860	13
2870	13
2880	13
2890	13
2900	13
2910	13
2920	13
2930	13
2940	13
2950	13
2960	13
2970	13
2980	13
2990	13
3000	13
3010	13
3020	13
3030	13
3040	13
3050	13
3060	13
3070	13
3080	13
3090	13
3100	13
3110	13
3120	13
3130	13
3140	13
3150	13
3160	13
3170	13
3180	13
3190	13
3200	13
3210	13
3220	13
3230	13
3240	13
3250	13
3260	13
3270	13
3280	13
3290	13
3300	13
3310	13
3320	13
3330	13
3340	13
3350	13
3360	13
3370	13
3380	13
3390	13
3400	13
3410	13
3420	13
3430	13
3440	13
3450	13
3460	13
3470	13
3480	13
3490	13
3500	13
3510	13
3520	13
3530	13
3540	13
3550	13
3560	13
3570	13
3580	13
3590	13
3600	13
3610	13
3620	13
3630	13
3640	13
3650	13
3660	13
3670	13
3680	13
3690	13
3700	13
3710	13
3720	13
3730	13
3740	13
3750	13
3760	13
3770	13
3780	13
3790	13
3800	13
3810	13
3820	13
3830	13
3840	13
3850	13
3860	13
3870	13
3880	13
3890	13
3900	13
3910	13
3920	13
3930	13
3940	13
3950	13
3960	13
3970	13
3980	13
3990	13
4000	13
4010	13
4020	13
4030	13
4040	13
4050	13
4060	13
4070	13
4080	13
4090	13
4100	13
4110	13
4120	13
4130	13
4140	13
4150	13
4160	13
4170	13
4180	13
4190	13
4200	13
4210	13
4220	13
4230	13
4240	13
4250	13
4260	13
4270	13
4280	13
4290	13
4300	13
4310	13
4320	13
4330	13
4340	13
4350	13
4360	13
4370	13
4380	13
4390	13
4400	13
4410	13
4420	13
4430	13
4440	13
4450	13
4460	13
4470	13
4480	13
4490	13
4500	13
4510	13
4520	13
4530	13
4540	13
4550	13
4560	13
4570	13
4580	13
4590	13
4600	13
4610	13
4620	13
4630	13
4640	13
4650	13
4660	13
4670	13
4680	13
4690	13
4700	13
4710	13
4720	13
4730	13
4740	13
4750	13
4760	13
4770	13
4780	13
4790	13
4800	13
4810	13
4820	13
4830	13
4840	13
4850	13
4860	13
4870	13
4880	13
4890	13
4900	13
4910	13
4920	13
4930	13
4940	13
4950	13
4960	13
4970	13
4980	13
4990	13
5000	13
5010	13
5020	13
5030	13
5040	13
5050	13
5060	13
5070	13
5080	13
5090	13
5100	13
5110	13
5120	13
5130	13
5140	13
5150	13
5160	13
5170	13
5180	13
5190	13
5200	13
5210	13
5220	13
5230	13
5240	13
5250	13
5260	13
5270	13
5280	13
5290	13
5300	13
5310	13
5320	13
5330	13
5340	13
5350	13
5360	13
5370	13
5380	13
5390	13
5400	13
5410	13
5420	13
5430	13
5440	13
5450	13
5460	13
5470	13
5480	13
5490	13
5500	13
5510	13
5520	13
5530	13
5540	13
5550	13
5560	13
5570	13
5580	13
5590	13
5600	13
5610	13
5620	13
5630	13
5640	13
5650	13
5660	13
5670	13
5680	13
5690	13
5700	13
5710	13
5720	13
5730	13
5740	13
5750	13
5760	13
5770	13
5780	13
5790	13
5800	13
5810	13
5820	13
5830	13
5840	13
5850	13
5860	13
5870	13
5880	13
5890	13
5900	13
5910	13
5920	13
5930	13
5940	13
5950	13
5960	13
5970	13
5980	13
5990	13
6000	13
6010	13
6020	13
6030	13
6040	13
6050	13
6060	13
6070	13
6080	13
6090	13
6100	13
6110	13
6120	13
6130	13
6140	13
6150	13
6160	13
6170	13
6180	13
6190	13
6200	13
6210	13
6220	13
6230	13
6240	13
6250	13
6260	13
6270	13
6280	13
6290	13
6300	13
6310	13
6320	13
6330	13
6340	13
6350	13
6360	13
6370	13
6380	13
6390	13
6400	13
6410	13
6420	13
6430	13
6440	13
6450	13
6460	13
6470	13
6480	13
6490	13
6500	13
6510	13
6520	13
6530	13
6540	13
6550	13
6560	13
6570	13
6580	13
6590	13
6600	13
6610	13
6620	13
6630	13
6640	13
6650	13
6660	13
6670	13
6680	13
6690	13
6700	13
6710	13
6720	13
6730	13
6740	13
6750	13
6760	13
6770	13
6780	13
6790	13
6800	13
6810	13
6820	13
6830	13
6840	13
6850	13
6860	13
6870	13
6880	13
6890	13
6900	13
6910	13
6920	13
6930	13
6940	13
6950	13
6960	13
6970	13
6980	13
6990	13
7000	13
7010	13
7020	13
7030	13
7040	13
7050	13
7060	13
7070	13
7080	13
7090	13
7100	13
7110	13
7120	13
7130	13
7140	13
7150	13
7160	13
7170	13
7180	13
7190	13
7200	13
7210	13
7220	13
7230	13
7240	13
7250	13
7260	13
7270	13
7280	13
7290	13
7300	13
7310	13
7320	13
7330	13
7340	13
7350	13
7360	13
7370	13
7380	13
7390	13
7400	13
7410	13
7420	13
7430	13
7440	13
7450	13
7460	13
7470	13
7480	13
7490	13
7500	13
7510	13
7520	13
7530	13
7540	13
7550	13
7560	13
7570	13
7580	13
7590	13
7600	13
7610	13
7620	13
7630	13
7640	13
7650	13
7660	13
7670	13
7680	13
7690	13
7700	13
7710	13
7720	13
7730	13
7740	13
7750	13
7760	13
7770	13
7780	13
7790	13
7800	13
7810	13
7820	13
7830	13
7840	13
7850	13
7860	13
7870	13
7880	13
7890	13
7900	13
7910	13
7920	13
7930	13
7940	13
7950	13
7960	13
7970	13
7980	13
7990	13
8000	13
8010	13
8020	13
8030	13
8040	13
8050	13
8060	13
8070	13
8080	13
8090	13
8100	13
8110	13
8120	13
8130	13
8140	13
8150	13
8160	13
