Seconds	Methods
10	2
20	2
30	2
40	2
50	2
60	2
70	3
80	3
90	3
100	3
110	3
120	3
130	3
140	3
150	3
160	3
170	3
180	3
190	3
200	3
210	3
220	3
230	3
240	3
250	3
260	3
270	3
280	3
290	3
300	3
310	3
320	3
330	3
340	3
350	3
360	3
370	3
380	3
390	3
400	3
410	3
420	3
430	3
440	3
450	3
460	3
470	3
480	3
490	3
500	3
510	3
520	3
530	3
540	3
550	3
560	3
570	3
580	3
590	3
600	3
610	3
620	3
630	3
640	3
650	3
660	3
670	3
680	3
690	3
700	3
710	3
720	3
730	3
740	3
750	3
760	3
770	3
780	3
790	3
800	3
810	3
820	3
830	3
840	3
850	3
860	3
870	3
880	3
890	3
900	3
910	3
920	3
930	3
940	3
950	3
960	3
970	3
980	3
990	3
1000	3
1010	3
1020	3
1030	3
1040	3
1050	3
1060	3
1070	3
1080	3
1090	3
1100	3
1110	3
1120	3
1130	3
1140	3
1150	3
1160	3
1170	3
1180	3
1190	3
1200	3
1210	3
1220	3
1230	3
1240	3
1250	3
1260	3
1270	3
1280	3
1290	3
1300	3
1310	3
1320	3
1330	3
1340	3
1350	3
1360	3
1370	3
1380	3
1390	3
1400	3
1410	3
1420	3
1430	3
1440	3
1450	3
1460	3
1470	3
1480	3
1490	3
1500	3
1510	3
1520	3
1530	3
1540	3
1550	3
1560	3
1570	3
1580	3
1590	3
1600	3
1610	3
1620	3
1630	3
1640	3
1650	3
1660	3
1670	3
1680	3
1690	3
1700	3
1710	3
1720	3
1730	3
1740	3
1750	3
1760	3
1770	3
1780	3
1790	3
1800	3
1810	3
1820	3
1830	3
1840	3
1850	3
1860	3
1870	3
1880	3
1890	3
1900	3
1910	3
1920	3
1930	3
1940	3
1950	3
1960	3
1970	3
1980	3
1990	3
2000	3
2010	3
2020	3
2030	3
2040	3
2050	3
2060	3
2070	3
2080	3
2090	3
2100	3
2110	3
2120	3
2130	3
2140	3
2150	3
2160	3
2170	3
2180	3
2190	3
2200	3
2210	3
2220	3
2230	3
2240	3
2250	3
2260	3
2270	3
2280	3
2290	3
2300	3
2310	3
2320	3
2330	3
2340	3
2350	3
2360	3
2370	3
2380	3
2390	3
2400	3
2410	3
2420	3
2430	3
2440	3
2450	3
2460	3
2470	3
2480	3
2490	3
2500	3
2510	3
2520	3
2530	3
2540	3
2550	3
2560	3
2570	3
2580	3
2590	3
2600	3
2610	3
2620	3
2630	3
2640	3
2650	3
2660	3
2670	3
2680	3
2690	3
2700	3
2710	3
2720	3
2730	3
2740	3
2750	3
2760	3
2770	3
2780	3
2790	3
2800	3
2810	3
2820	3
2830	3
2840	3
2850	3
2860	3
2870	3
2880	3
2890	3
2900	3
2910	3
2920	3
2930	3
2940	3
2950	3
2960	3
2970	3
2980	3
2990	3
3000	3
