Seconds	Methods
10	3
20	3
30	3
40	3
50	3
60	4
70	4
80	4
90	4
100	4
110	4
120	4
130	4
140	4
150	4
160	4
170	4
180	4
190	4
200	4
210	4
220	4
230	4
240	4
250	4
260	4
270	4
280	4
290	4
300	4
310	4
320	4
330	4
340	4
350	4
360	4
370	4
380	4
390	4
400	4
410	4
420	4
430	4
440	4
450	4
460	4
470	4
480	4
490	4
500	4
510	4
520	4
530	4
540	4
550	4
560	4
570	4
580	4
590	4
600	4
610	4
620	4
630	4
640	4
650	4
660	4
670	4
680	4
690	4
700	4
710	4
720	4
730	4
740	4
750	4
760	4
770	4
780	4
790	4
800	4
810	4
820	4
830	4
840	4
850	4
860	4
870	4
880	4
890	4
900	4
910	4
920	4
930	4
940	4
950	4
960	4
970	4
980	4
990	4
1000	4
1010	4
1020	4
1030	4
1040	4
1050	4
1060	4
1070	4
1080	4
1090	4
1100	4
1110	4
1120	4
1130	4
1140	4
1150	4
1160	4
1170	4
1180	4
1190	4
1200	4
1210	4
1220	4
1230	4
1240	5
1250	5
1260	5
1270	5
1280	5
1290	5
1300	5
1310	5
1320	5
1330	5
1340	5
1350	5
1360	5
1370	5
1380	5
1390	5
1400	5
1410	5
1420	5
1430	5
1440	5
1450	5
1460	5
1470	5
1480	5
1490	5
1500	5
1510	5
1520	5
1530	5
1540	5
1550	5
1560	5
1570	5
1580	5
1590	5
1600	5
1610	5
1620	5
1630	5
1640	5
1650	5
1660	5
1670	5
1680	5
1690	5
1700	5
1710	5
1720	5
1730	5
1740	5
1750	5
1760	5
1770	5
1780	5
1790	5
1800	5
1810	5
1820	5
1830	5
1840	5
1850	5
1860	5
1870	5
1880	5
1890	5
1900	5
1910	5
1920	5
1930	5
1940	5
1950	5
1960	5
1970	5
1980	5
1990	5
2000	5
2010	5
2020	5
2030	5
2040	5
2050	5
2060	5
2070	5
2080	5
2090	5
2100	5
2110	5
2120	5
2130	5
2140	5
2150	5
2160	5
2170	5
2180	5
2190	5
2200	5
2210	5
2220	5
2230	5
2240	5
2250	5
2260	5
2270	5
2280	5
2290	5
2300	5
2310	5
2320	5
2330	5
2340	5
2350	5
2360	5
2370	5
2380	5
2390	5
2400	5
2410	5
2420	5
2430	5
2440	5
2450	5
2460	5
2470	5
2480	5
2490	5
2500	5
2510	5
2520	5
2530	5
2540	5
2550	5
2560	5
2570	5
2580	5
2590	5
2600	5
2610	5
2620	5
2630	5
2640	5
2650	5
2660	5
2670	5
2680	5
2690	5
2700	5
2710	5
2720	5
2730	5
2740	5
2750	5
2760	5
2770	5
2780	5
2790	5
2800	5
2810	5
2820	5
2830	5
2840	5
2850	5
2860	5
2870	5
2880	5
2890	5
2900	5
2910	5
2920	5
2930	5
2940	5
2950	5
2960	5
2970	5
2980	5
2990	5
3000	5
3010	5
3020	5
3030	5
3040	5
3050	5
3060	5
3070	5
3080	5
3090	5
3100	5
3110	5
3120	5
3130	5
3140	5
3150	5
3160	5
3170	5
3180	5
3190	5
3200	5
3210	5
3220	5
3230	5
3240	5
3250	5
3260	5
3270	5
3280	5
3290	5
3300	5
3310	5
3320	5
3330	5
3340	5
3350	5
3360	5
3370	5
3380	5
3390	5
3400	5
3410	5
3420	5
3430	5
3440	5
3450	5
3460	5
3470	5
3480	5
3490	5
3500	5
3510	5
3520	5
3530	5
3540	5
3550	5
3560	5
3570	5
3580	5
3590	5
3600	5
3610	5
3620	5
3630	5
3640	5
3650	5
3660	5
3670	5
3680	5
3690	5
3700	5
3710	5
3720	5
3730	5
3740	5
3750	5
3760	5
3770	5
3780	5
3790	5
3800	5
3810	5
3820	5
3830	5
3840	5
3850	5
3860	5
3870	5
3880	5
3890	5
3900	5
3910	5
3920	5
3930	5
3940	5
3950	5
3960	5
3970	5
3980	5
3990	5
4000	5
4010	5
4020	5
4030	5
4040	5
4050	5
4060	5
4070	5
4080	5
4090	5
4100	5
4110	5
4120	5
4130	5
4140	5
4150	5
4160	5
4170	5
4180	5
4190	5
4200	5
4210	5
4220	5
4230	5
4240	5
4250	5
4260	5
4270	5
4280	5
4290	5
4300	5
4310	5
4320	5
4330	5
4340	5
4350	5
4360	5
4370	5
4380	5
4390	5
4400	5
4410	5
4420	5
4430	5
4440	5
4450	5
4460	5
4470	5
4480	5
4490	5
4500	5
4510	5
4520	5
4530	5
4540	5
4550	5
4560	5
4570	5
4580	5
4590	5
4600	5
4610	5
4620	5
4630	5
4640	5
4650	5
4660	5
4670	5
4680	5
4690	5
4700	5
4710	5
4720	5
4730	5
4740	5
4750	5
4760	5
4770	5
4780	5
4790	5
4800	5
4810	5
4820	5
4830	5
4840	5
4850	5
4860	5
4870	5
4880	5
4890	5
4900	5
4910	5
4920	5
4930	5
4940	5
4950	5
4960	5
4970	5
4980	5
4990	5
5000	5
5010	5
5020	5
5030	5
5040	5
5050	5
5060	5
5070	5
5080	5
5090	5
5100	5
5110	5
5120	5
5130	5
5140	5
5150	5
5160	5
5170	5
5180	5
5190	5
5200	5
5210	5
5220	5
5230	5
5240	5
5250	5
5260	5
5270	5
5280	5
5290	5
5300	5
5310	5
5320	5
5330	5
5340	5
5350	5
5360	5
5370	5
5380	5
5390	5
5400	5
5410	5
5420	5
5430	5
5440	5
5450	5
5460	5
5470	5
5480	5
5490	5
5500	5
5510	5
5520	5
5530	5
5540	5
5550	5
5560	5
5570	5
5580	5
5590	5
5600	5
5610	5
5620	5
5630	5
5640	5
5650	5
5660	5
5670	5
5680	5
5690	5
5700	5
5710	5
5720	5
5730	5
5740	5
5750	5
5760	5
5770	5
5780	5
5790	5
5800	5
5810	5
5820	5
5830	5
5840	5
5850	5
5860	5
5870	5
5880	5
5890	5
5900	5
5910	5
5920	5
5930	5
5940	5
5950	5
5960	5
5970	5
5980	5
5990	5
6000	5
6010	5
6020	5
6030	5
6040	5
6050	5
6060	5
6070	5
6080	5
6090	5
6100	5
6110	5
6120	5
6130	5
6140	5
6150	5
6160	5
6170	5
6180	5
6190	5
6200	5
6210	5
6220	5
6230	5
6240	5
6250	5
6260	5
6270	5
6280	5
6290	5
6300	5
6310	5
6320	5
6330	5
6340	5
6350	5
6360	5
6370	5
6380	5
6390	5
6400	5
6410	5
6420	5
6430	5
6440	5
6450	5
6460	5
6470	5
6480	5
6490	5
6500	5
6510	5
6520	5
6530	5
6540	5
6550	5
6560	5
6570	5
6580	5
6590	5
6600	5
6610	5
6620	5
6630	5
6640	5
6650	5
6660	5
6670	5
6680	5
6690	5
6700	5
6710	5
6720	5
6730	5
6740	5
6750	5
6760	5
6770	5
6780	5
6790	5
6800	5
6810	5
6820	5
6830	5
6840	5
6850	5
6860	5
6870	5
6880	5
6890	5
6900	5
6910	5
6920	5
6930	5
6940	5
6950	5
6960	5
6970	5
6980	5
6990	5
7000	5
7010	5
7020	5
7030	5
7040	5
7050	5
7060	5
7070	5
7080	5
7090	5
7100	5
7110	5
7120	5
7130	5
7140	5
7150	5
7160	5
7170	5
7180	5
7190	5
7200	5
7210	5
7220	5
7230	5
