Seconds	Methods
10	11
20	12
30	17
40	17
50	17
60	17
70	17
80	17
90	17
100	17
110	17
120	17
130	17
140	17
150	17
160	17
170	17
180	17
190	17
200	17
210	17
220	17
230	17
240	17
250	17
260	17
270	17
280	17
290	17
300	17
310	17
320	17
330	17
340	17
350	17
360	17
370	17
380	17
390	17
400	17
410	17
420	17
430	17
440	17
450	17
460	17
470	17
480	17
490	17
500	17
510	17
520	17
530	17
540	17
550	17
560	17
570	17
580	17
590	17
600	17
610	17
620	17
630	17
640	17
650	17
660	17
670	17
680	17
690	17
700	17
710	17
720	17
730	17
740	17
750	17
760	17
770	17
780	17
790	17
800	17
810	17
820	17
830	17
840	17
850	17
860	17
870	17
880	17
890	17
900	17
910	17
920	17
930	17
940	17
950	17
960	17
970	17
980	17
990	17
1000	17
1010	17
1020	17
1030	18
1040	18
1050	18
1060	18
1070	18
1080	18
1090	18
1100	18
1110	18
1120	18
1130	18
1140	18
1150	18
1160	18
1170	18
1180	18
1190	18
1200	18
1210	18
1220	18
1230	18
1240	18
1250	18
1260	18
1270	18
1280	18
1290	18
1300	18
1310	18
1320	18
1330	18
1340	18
1350	18
1360	18
1370	18
1380	18
1390	18
1400	18
1410	18
1420	18
1430	18
1440	18
1450	18
1460	18
1470	18
1480	18
1490	18
1500	18
1510	18
1520	18
1530	18
1540	18
1550	18
1560	18
1570	18
1580	18
1590	18
1600	18
1610	18
1620	18
1630	18
1640	18
1650	18
1660	18
1670	18
1680	18
1690	18
1700	18
1710	18
1720	18
1730	18
1740	18
1750	18
1760	18
1770	18
1780	18
1790	18
1800	18
1810	18
1820	18
1830	18
1840	18
1850	18
1860	18
1870	18
1880	18
1890	18
1900	18
1910	18
1920	18
1930	18
1940	18
1950	18
1960	18
1970	18
1980	18
1990	18
2000	18
2010	18
2020	18
2030	18
2040	18
2050	18
2060	18
2070	18
2080	18
2090	18
2100	18
2110	18
2120	18
2130	18
2140	18
2150	18
2160	18
2170	18
2180	18
2190	18
2200	18
2210	18
2220	18
2230	18
2240	18
2250	18
2260	18
2270	18
2280	18
2290	18
2300	18
2310	18
2320	18
2330	18
2340	18
2350	18
2360	18
2370	18
2380	18
2390	18
2400	18
2410	18
2420	18
2430	18
2440	18
2450	18
2460	18
2470	18
2480	18
2490	18
2500	18
2510	18
2520	18
2530	18
2540	18
2550	18
2560	18
2570	18
2580	18
2590	18
2600	18
2610	18
2620	18
2630	18
2640	18
2650	18
2660	18
2670	18
2680	18
2690	18
2700	18
2710	18
2720	18
2730	18
2740	18
2750	18
2760	18
2770	18
2780	18
2790	18
2800	18
2810	18
2820	18
2830	18
2840	18
2850	18
2860	18
2870	18
2880	18
2890	18
2900	18
2910	18
2920	18
2930	18
2940	18
2950	18
2960	18
2970	18
2980	18
2990	18
3000	18
3010	18
3020	18
3030	18
3040	18
3050	18
3060	18
3070	18
3080	18
3090	18
3100	18
3110	18
3120	18
3130	18
3140	18
3150	18
3160	18
3170	18
3180	18
3190	18
3200	18
3210	18
3220	18
3230	18
3240	18
3250	18
3260	18
3270	18
3280	18
3290	18
3300	18
3310	18
3320	18
3330	18
3340	18
3350	18
3360	18
3370	18
3380	18
3390	18
3400	18
3410	18
3420	18
3430	18
3440	18
3450	18
3460	18
3470	18
3480	18
3490	18
3500	18
3510	18
3520	18
3530	18
3540	18
3550	18
3560	18
3570	18
3580	18
3590	18
3600	18
3610	18
3620	18
3630	18
3640	18
3650	18
3660	18
3670	18
3680	18
3690	18
3700	48
3710	48
3720	48
3730	48
3740	48
3750	48
3760	48
3770	48
3780	48
3790	48
3800	48
3810	48
3820	48
3830	48
3840	48
3850	48
3860	48
3870	48
3880	48
3890	48
3900	48
3910	48
3920	48
3930	48
3940	48
3950	48
3960	48
3970	48
3980	48
3990	48
4000	48
4010	48
4020	48
4030	48
4040	48
4050	48
4060	48
4070	48
4080	48
4090	48
4100	48
4110	48
4120	48
4130	48
4140	48
4150	48
4160	48
4170	48
4180	48
4190	48
4200	48
4210	48
4220	48
4230	48
4240	48
4250	48
4260	48
4270	48
4280	48
4290	48
4300	48
4310	48
4320	48
4330	48
4340	48
4350	48
4360	48
4370	48
4380	48
4390	48
4400	48
4410	48
4420	48
4430	48
4440	48
4450	48
4460	48
4470	48
4480	48
4490	48
4500	48
4510	48
4520	48
4530	48
4540	48
4550	48
4560	48
4570	48
4580	48
4590	48
4600	48
4610	48
4620	48
4630	48
4640	48
4650	48
4660	48
4670	48
4680	48
4690	48
4700	48
4710	48
4720	48
4730	48
4740	48
4750	48
4760	48
4770	48
4780	48
4790	48
4800	48
4810	48
4820	48
4830	48
4840	48
4850	48
4860	48
4870	48
4880	48
4890	48
4900	48
4910	48
4920	48
4930	48
4940	48
4950	48
4960	48
4970	48
4980	48
4990	48
5000	48
5010	48
5020	48
5030	48
5040	48
5050	48
5060	48
5070	48
5080	48
5090	48
5100	48
5110	48
5120	48
5130	48
5140	48
5150	48
5160	48
5170	48
5180	48
5190	48
5200	48
5210	48
5220	48
5230	48
5240	48
5250	48
5260	48
5270	48
5280	48
5290	48
5300	48
5310	48
5320	48
5330	48
5340	48
5350	48
5360	48
5370	48
5380	48
5390	48
5400	48
5410	48
5420	48
5430	48
5440	48
5450	48
5460	48
5470	48
5480	48
5490	48
5500	48
5510	48
5520	48
5530	48
5540	48
5550	48
5560	48
5570	48
5580	48
5590	48
5600	48
5610	48
5620	48
5630	48
5640	48
5650	48
5660	48
5670	48
5680	48
5690	48
5700	48
5710	48
5720	48
5730	48
5740	48
5750	48
5760	48
5770	48
5780	48
5790	48
5800	48
5810	48
5820	48
5830	48
5840	48
5850	48
5860	48
5870	48
5880	48
5890	48
5900	48
5910	48
5920	48
5930	48
5940	48
5950	48
5960	48
5970	48
5980	48
5990	48
6000	48
6010	48
6020	48
6030	48
6040	48
6050	48
6060	48
6070	48
6080	48
6090	48
6100	48
6110	48
6120	48
6130	48
6140	48
6150	48
6160	48
6170	48
6180	48
6190	48
6200	48
6210	48
6220	48
6230	48
6240	48
6250	48
6260	48
6270	48
6280	48
6290	48
6300	48
6310	48
6320	48
6330	48
6340	48
6350	48
6360	48
6370	48
6380	48
6390	48
6400	48
6410	48
6420	48
6430	48
6440	48
6450	48
6460	48
6470	48
6480	48
6490	48
6500	48
6510	48
6520	48
6530	48
6540	48
6550	48
6560	48
6570	48
6580	48
6590	48
6600	48
6610	48
6620	48
6630	48
6640	48
6650	48
6660	48
6670	48
6680	48
6690	48
6700	48
6710	48
6720	48
6730	48
6740	48
6750	48
6760	48
6770	48
6780	48
6790	48
6800	48
6810	48
6820	48
