Seconds	Methods
10	1
20	1
30	3
40	3
50	3
60	3
70	3
80	3
90	3
100	3
110	3
120	3
130	3
140	4
150	4
160	4
170	4
180	4
190	4
200	4
210	4
220	4
230	4
240	4
250	4
260	4
270	4
280	4
290	4
300	4
310	4
320	4
330	4
340	4
350	4
360	4
370	4
380	4
390	4
400	4
410	4
420	4
430	4
440	4
450	4
460	4
470	4
480	4
490	4
500	4
510	4
520	4
530	4
540	4
550	4
560	4
570	4
580	4
590	4
600	4
610	4
620	4
630	4
640	4
650	4
660	4
670	4
680	4
690	4
700	4
710	4
720	4
730	4
740	4
750	4
760	4
770	4
780	4
790	4
800	4
810	4
820	4
830	4
840	4
850	4
860	4
870	4
880	4
890	4
900	4
910	4
920	4
930	4
940	4
950	4
960	4
970	4
980	4
990	4
1000	4
1010	4
1020	4
1030	4
1040	4
1050	4
1060	4
1070	4
1080	4
1090	4
1100	4
1110	4
1120	4
1130	4
1140	4
1150	4
1160	4
1170	4
1180	4
1190	4
1200	4
1210	4
1220	4
1230	4
1240	4
1250	4
1260	4
1270	4
1280	4
1290	4
1300	4
1310	4
1320	4
1330	4
1340	4
1350	4
1360	4
1370	4
1380	4
1390	4
1400	4
1410	4
1420	4
1430	4
1440	4
1450	4
1460	4
1470	4
1480	4
1490	4
1500	4
1510	4
1520	4
1530	4
1540	4
1550	4
1560	4
1570	4
1580	4
1590	4
1600	4
1610	4
1620	4
1630	4
1640	4
1650	4
1660	4
1670	4
1680	4
1690	4
1700	4
1710	4
1720	4
1730	4
1740	4
1750	4
1760	4
1770	4
1780	4
1790	4
1800	4
1810	4
1820	4
1830	4
1840	4
1850	4
1860	4
1870	4
1880	4
1890	4
1900	4
1910	4
1920	4
1930	4
1940	4
1950	4
1960	4
1970	4
1980	4
1990	4
2000	4
2010	4
2020	4
2030	4
2040	4
2050	4
2060	4
2070	4
2080	4
2090	4
2100	4
2110	4
2120	4
2130	4
2140	4
2150	4
2160	4
2170	4
2180	4
2190	4
2200	4
2210	4
2220	4
2230	4
2240	4
2250	4
2260	4
2270	4
2280	4
2290	4
2300	4
2310	4
2320	4
2330	4
2340	4
2350	4
2360	4
2370	4
2380	4
2390	4
2400	4
2410	4
2420	4
2430	4
2440	4
2450	4
2460	4
2470	4
2480	4
2490	4
2500	4
2510	4
2520	4
2530	4
2540	4
2550	4
2560	4
2570	4
2580	4
2590	4
2600	4
2610	4
2620	4
2630	4
2640	4
2650	4
2660	4
2670	4
2680	4
2690	4
2700	4
2710	4
2720	4
2730	4
2740	4
2750	4
2760	5
2770	5
2780	5
2790	5
2800	5
2810	5
2820	5
2830	5
2840	5
2850	5
2860	5
2870	5
2880	5
2890	5
2900	5
2910	5
2920	5
2930	5
2940	5
2950	5
2960	5
2970	5
2980	5
2990	5
3000	5
3010	5
3020	5
3030	5
3040	5
3050	5
3060	5
3070	5
3080	5
3090	5
3100	5
3110	5
3120	5
3130	5
3140	5
3150	5
3160	5
3170	5
3180	5
3190	5
3200	5
3210	5
3220	5
3230	5
3240	5
3250	5
3260	5
3270	5
3280	5
3290	5
3300	5
3310	5
3320	5
3330	5
3340	5
3350	5
3360	5
3370	5
3380	5
3390	5
3400	5
3410	5
3420	5
3430	5
3440	5
3450	5
3460	5
3470	5
3480	5
3490	5
3500	5
3510	5
3520	5
3530	5
3540	5
3550	5
3560	5
3570	5
3580	5
3590	5
3600	5
3610	5
3620	5
3630	5
3640	5
3650	5
3660	5
3670	5
3680	5
3690	5
3700	5
3710	5
3720	5
3730	5
3740	5
3750	5
3760	5
3770	5
3780	5
3790	5
3800	5
3810	5
3820	5
3830	5
3840	5
3850	5
3860	5
3870	5
3880	5
3890	5
3900	5
3910	5
3920	5
3930	5
3940	5
3950	5
3960	5
3970	5
3980	5
3990	5
4000	5
4010	5
4020	5
4030	5
4040	5
4050	5
4060	5
4070	5
4080	5
4090	5
4100	5
4110	5
4120	5
4130	5
4140	5
4150	5
4160	5
4170	5
4180	5
4190	5
4200	5
4210	5
4220	5
4230	5
4240	5
4250	5
4260	5
4270	5
4280	5
4290	5
4300	5
4310	5
4320	5
4330	5
4340	5
4350	5
