Seconds	Methods
10	4
20	5
30	5
40	5
50	5
60	5
70	5
80	5
90	5
100	5
110	5
120	5
130	5
140	5
150	5
160	5
170	5
180	5
190	5
200	5
210	5
220	5
230	5
240	5
250	5
260	5
270	5
280	5
290	5
300	5
310	5
320	5
330	5
340	5
350	5
360	5
370	5
380	5
390	5
400	5
410	5
420	5
430	5
440	5
450	5
460	5
470	5
480	5
490	5
500	5
510	5
520	5
530	5
540	5
550	5
560	5
570	5
580	5
590	5
600	5
610	5
620	5
630	5
640	5
650	5
660	5
670	5
680	5
690	5
700	5
710	5
720	5
730	5
740	5
750	5
760	5
770	5
780	5
790	5
800	5
810	5
820	5
830	5
840	5
850	5
860	5
870	5
880	5
890	5
900	5
910	5
920	5
930	5
940	5
950	5
960	5
970	5
980	5
990	5
1000	5
1010	5
1020	5
1030	5
1040	5
1050	5
1060	5
1070	5
1080	5
1090	5
1100	5
1110	5
1120	5
1130	5
1140	5
1150	5
1160	5
1170	5
1180	5
1190	5
1200	5
1210	5
1220	5
1230	5
1240	5
1250	5
1260	5
1270	5
1280	5
1290	5
1300	5
1310	5
1320	5
1330	5
1340	5
1350	5
1360	5
1370	5
1380	5
1390	5
1400	5
1410	5
1420	5
1430	5
1440	5
1450	5
1460	5
1470	5
1480	5
1490	5
1500	5
1510	5
1520	5
1530	5
1540	5
1550	5
1560	5
1570	6
1580	6
1590	6
1600	6
1610	6
1620	6
1630	6
1640	6
1650	6
1660	6
1670	6
1680	6
1690	6
1700	6
1710	6
1720	6
1730	6
1740	6
1750	6
1760	6
1770	6
1780	6
1790	6
1800	6
1810	6
1820	6
1830	6
1840	6
1850	6
1860	6
1870	6
1880	6
1890	6
1900	6
1910	6
1920	6
1930	6
1940	6
1950	6
1960	6
1970	6
1980	6
1990	6
2000	6
2010	6
2020	6
2030	6
2040	6
2050	6
2060	6
2070	6
2080	6
2090	6
2100	6
2110	6
2120	6
2130	6
2140	6
2150	6
2160	6
2170	6
2180	6
2190	6
2200	6
2210	6
2220	6
2230	6
2240	6
2250	6
2260	6
2270	6
2280	6
2290	6
2300	6
2310	10
2320	10
2330	10
2340	10
2350	10
2360	10
2370	10
2380	10
2390	10
2400	10
2410	10
2420	10
2430	10
2440	10
2450	10
2460	10
2470	10
2480	10
2490	10
2500	10
2510	10
2520	10
2530	10
2540	10
2550	10
2560	10
2570	10
2580	10
2590	10
2600	10
2610	10
2620	10
2630	10
2640	10
2650	10
2660	10
2670	10
2680	10
2690	10
2700	10
2710	10
2720	10
2730	10
2740	10
2750	10
2760	10
2770	10
2780	10
2790	10
2800	10
2810	10
2820	10
2830	10
2840	10
2850	10
2860	10
2870	10
2880	10
2890	10
2900	10
2910	10
2920	10
2930	10
2940	10
2950	10
2960	10
2970	10
2980	10
2990	10
3000	10
3010	10
3020	10
3030	10
3040	10
3050	10
3060	10
3070	10
3080	10
3090	10
3100	10
3110	10
3120	10
3130	10
3140	10
3150	10
3160	10
3170	10
3180	10
3190	10
3200	10
3210	10
3220	10
3230	10
3240	10
3250	10
3260	10
3270	10
3280	10
3290	10
3300	10
3310	10
3320	10
3330	10
3340	10
3350	10
3360	10
3370	10
3380	10
3390	10
3400	10
3410	10
3420	10
3430	10
3440	10
3450	10
3460	10
3470	10
3480	10
3490	10
3500	10
3510	10
3520	10
3530	10
3540	10
3550	10
3560	10
3570	10
3580	10
3590	10
3600	10
3610	10
3620	10
3630	10
3640	10
3650	10
3660	10
3670	10
3680	10
3690	10
3700	10
3710	10
3720	10
3730	10
3740	10
3750	10
3760	10
3770	10
3780	10
3790	10
3800	10
3810	10
3820	10
3830	10
3840	10
3850	10
3860	10
3870	10
3880	10
3890	10
