Seconds	Methods
10	6
20	7
30	7
40	7
50	7
60	7
70	7
80	7
90	7
100	7
110	7
120	7
130	7
140	7
150	7
160	7
170	7
180	7
190	7
200	7
210	7
220	7
230	7
240	7
250	7
260	7
270	7
280	7
290	7
300	7
310	7
320	7
330	7
340	7
350	7
360	7
370	7
380	7
390	7
400	7
410	7
420	7
430	7
440	7
450	7
460	7
470	7
480	7
490	7
500	7
510	7
520	7
530	7
540	7
550	7
560	7
570	7
580	7
590	7
600	7
610	7
620	7
630	7
640	7
650	7
660	7
670	7
680	7
690	7
700	7
710	7
720	7
730	7
740	7
750	7
760	7
770	7
780	7
790	7
800	7
810	7
820	7
830	7
840	7
850	7
860	7
870	7
880	7
890	7
900	7
910	7
920	7
930	7
940	7
950	7
960	7
970	7
980	7
990	7
1000	7
1010	7
1020	7
1030	7
1040	7
1050	7
1060	7
1070	7
1080	7
1090	7
1100	7
1110	7
1120	7
1130	7
1140	7
1150	7
1160	7
1170	7
1180	7
1190	7
1200	7
1210	7
1220	7
1230	7
1240	7
1250	7
1260	7
1270	7
1280	7
1290	7
1300	7
1310	7
1320	7
1330	7
1340	7
1350	7
1360	7
1370	7
1380	7
1390	7
1400	7
1410	7
1420	7
1430	7
1440	7
1450	7
1460	7
1470	7
1480	7
1490	7
1500	7
1510	7
1520	7
1530	7
1540	7
1550	7
1560	7
1570	7
1580	7
1590	7
1600	7
1610	7
1620	7
1630	7
1640	7
1650	7
1660	7
1670	7
1680	7
1690	7
1700	7
1710	7
1720	7
1730	7
1740	7
1750	7
1760	7
1770	7
1780	7
1790	7
1800	7
1810	7
1820	7
1830	7
1840	7
1850	7
1860	7
1870	7
1880	7
1890	7
1900	7
1910	7
1920	7
1930	7
1940	7
1950	7
1960	7
1970	7
1980	7
1990	7
2000	7
2010	7
2020	7
2030	7
2040	7
2050	7
2060	7
2070	7
2080	7
2090	7
2100	7
2110	7
2120	7
2130	7
2140	7
2150	7
2160	7
2170	7
2180	7
2190	7
2200	7
2210	7
2220	7
2230	7
2240	7
2250	7
2260	7
2270	7
2280	7
2290	7
2300	7
2310	7
2320	7
2330	7
2340	7
2350	7
2360	7
2370	7
2380	7
2390	7
2400	7
2410	7
2420	7
2430	7
2440	7
2450	7
2460	7
2470	7
2480	7
2490	7
2500	7
2510	7
2520	7
2530	7
2540	7
2550	7
2560	7
2570	7
2580	7
2590	7
2600	7
2610	7
2620	7
2630	7
2640	7
