Seconds	Methods
10	8
20	8
30	8
40	8
50	8
60	8
70	8
80	9
90	9
100	9
110	9
120	9
130	9
140	9
150	9
160	9
170	9
180	9
190	9
200	9
210	9
220	9
230	9
240	9
250	9
260	9
270	9
280	9
290	9
300	9
310	9
320	9
330	9
340	9
350	9
360	9
370	9
380	9
390	9
400	9
410	9
420	9
430	9
440	9
450	9
460	9
470	9
480	9
490	10
500	10
510	10
520	10
530	10
540	10
550	10
560	10
570	10
580	10
590	10
600	10
610	10
620	10
630	10
640	10
650	10
660	10
670	10
680	10
690	10
700	10
710	10
720	10
730	10
740	10
750	10
760	10
770	10
780	10
790	10
800	10
810	10
820	10
830	10
840	10
850	10
860	10
870	10
880	10
890	10
900	10
910	10
920	10
930	10
940	10
950	10
960	10
970	10
980	10
990	10
1000	11
1010	11
1020	11
1030	11
1040	11
1050	11
1060	11
1070	11
1080	11
1090	11
1100	11
1110	11
1120	11
1130	11
1140	11
1150	11
1160	11
1170	11
1180	11
1190	11
1200	11
1210	11
1220	11
1230	11
1240	11
1250	11
1260	11
1270	11
1280	11
1290	11
1300	11
1310	11
1320	11
1330	11
1340	11
1350	11
1360	11
1370	11
1380	11
1390	11
1400	11
1410	11
1420	11
1430	11
1440	11
1450	11
1460	11
1470	11
1480	11
1490	11
1500	11
1510	11
1520	11
1530	11
1540	11
1550	11
1560	11
1570	11
1580	11
1590	11
1600	11
1610	11
1620	11
1630	11
1640	11
1650	11
1660	11
1670	11
1680	11
1690	11
1700	11
1710	11
1720	11
1730	11
1740	11
1750	11
1760	11
1770	11
1780	11
1790	11
1800	11
1810	11
1820	11
1830	11
1840	11
1850	11
1860	11
1870	11
1880	11
1890	11
1900	11
1910	11
1920	11
1930	11
1940	11
1950	11
1960	11
1970	11
1980	11
1990	11
2000	11
2010	11
2020	11
2030	11
2040	11
2050	11
2060	11
2070	11
2080	11
2090	11
2100	11
2110	11
2120	11
2130	11
2140	11
2150	11
2160	11
2170	11
2180	11
2190	11
2200	11
2210	11
2220	11
2230	11
2240	11
2250	11
2260	11
2270	11
2280	11
2290	11
2300	11
2310	11
2320	11
2330	11
2340	11
2350	11
2360	11
2370	11
2380	11
2390	11
2400	11
2410	11
2420	11
2430	11
2440	11
2450	11
2460	11
2470	11
2480	11
2490	11
2500	11
2510	13
2520	13
2530	13
2540	13
2550	13
2560	13
2570	13
2580	13
2590	13
2600	13
2610	13
2620	13
2630	13
2640	13
2650	13
2660	13
2670	13
2680	13
2690	13
2700	13
2710	13
2720	13
2730	13
2740	13
2750	13
2760	13
2770	13
2780	13
2790	13
2800	13
2810	13
2820	13
2830	13
2840	13
2850	13
2860	13
2870	13
2880	13
2890	13
2900	13
2910	13
2920	13
2930	13
2940	13
2950	13
2960	13
2970	13
2980	13
2990	13
3000	13
3010	13
3020	13
3030	13
3040	13
3050	13
3060	13
3070	13
3080	13
3090	13
3100	13
3110	13
3120	13
3130	13
3140	13
3150	13
3160	13
3170	13
3180	13
3190	13
3200	13
3210	13
3220	13
3230	13
3240	13
3250	13
3260	13
3270	13
3280	13
3290	13
3300	13
3310	13
3320	13
3330	13
3340	13
3350	13
3360	13
3370	13
3380	13
3390	13
3400	13
3410	13
3420	13
3430	13
3440	13
3450	13
3460	13
3470	13
3480	13
3490	13
3500	13
3510	13
3520	13
3530	13
3540	13
3550	13
3560	13
3570	13
3580	13
3590	13
3600	13
3610	13
3620	13
3630	13
3640	13
3650	13
3660	13
3670	13
3680	13
3690	13
3700	13
3710	13
3720	13
3730	13
3740	13
3750	13
3760	13
3770	13
3780	13
3790	13
3800	13
3810	13
3820	13
3830	13
3840	13
3850	13
3860	13
3870	13
3880	13
3890	13
3900	13
3910	13
3920	13
