Seconds	Methods
10	1
20	1
30	1
40	1
50	1
60	1
70	1
80	1
90	1
100	1
110	1
120	1
130	1
140	1
150	1
160	1
170	1
180	1
190	1
200	1
210	1
220	1
230	1
240	1
250	1
260	1
270	1
280	1
290	1
300	1
310	1
320	1
330	1
340	1
350	1
360	1
370	1
380	1
390	1
400	1
410	1
420	1
430	1
440	1
450	1
460	1
470	1
480	1
490	1
500	1
510	1
520	1
530	1
540	1
550	1
560	1
570	1
580	1
590	1
600	1
610	1
620	1
630	1
640	1
650	1
660	1
670	1
680	1
690	1
700	1
710	1
720	1
730	1
740	1
750	1
760	1
770	1
780	1
790	1
800	1
810	1
820	1
830	1
840	1
850	1
860	1
870	1
880	1
890	1
900	1
910	2
920	2
930	2
940	2
950	2
960	2
970	2
980	2
990	2
1000	2
1010	2
1020	2
1030	2
1040	2
1050	2
1060	2
1070	2
1080	2
1090	2
1100	2
1110	2
1120	2
1130	2
1140	2
1150	2
1160	2
1170	2
1180	2
1190	2
1200	2
1210	2
1220	2
1230	2
1240	2
1250	2
1260	2
1270	2
1280	2
1290	2
1300	2
1310	2
1320	2
1330	2
1340	2
1350	2
1360	2
1370	2
1380	2
1390	2
1400	2
1410	2
1420	2
1430	2
1440	2
1450	2
1460	2
1470	2
1480	2
1490	2
1500	2
1510	2
1520	2
1530	2
1540	2
1550	2
1560	2
1570	2
1580	2
1590	2
1600	2
1610	2
1620	2
1630	2
1640	2
1650	2
1660	2
1670	2
1680	2
1690	2
1700	2
1710	2
1720	2
1730	2
1740	2
1750	2
1760	2
1770	2
1780	2
1790	2
1800	2
1810	2
1820	2
1830	2
1840	2
1850	2
1860	2
1870	2
1880	2
1890	2
1900	2
1910	2
1920	2
1930	4
1940	4
1950	4
1960	4
1970	4
1980	4
1990	4
2000	4
2010	4
2020	4
2030	4
2040	4
2050	4
2060	4
2070	4
2080	4
2090	4
2100	4
2110	4
2120	4
2130	4
2140	4
2150	4
2160	4
2170	4
2180	4
2190	4
2200	4
2210	4
2220	4
2230	4
2240	4
2250	4
2260	4
2270	4
2280	4
2290	4
2300	4
2310	4
2320	4
2330	4
2340	4
2350	4
2360	4
2370	4
2380	4
2390	4
2400	4
2410	4
2420	4
2430	4
2440	4
2450	4
2460	4
2470	4
2480	4
2490	4
2500	4
2510	4
2520	4
2530	4
2540	4
2550	4
2560	4
2570	4
2580	4
2590	4
2600	4
2610	4
2620	4
2630	4
2640	4
2650	4
2660	4
2670	4
2680	4
2690	4
2700	4
2710	4
2720	4
2730	4
2740	4
2750	4
2760	4
2770	4
2780	4
2790	4
2800	4
2810	4
2820	4
2830	4
2840	4
2850	4
2860	4
2870	4
2880	4
2890	4
2900	4
2910	4
2920	4
2930	4
2940	4
2950	4
2960	4
2970	4
2980	4
2990	4
3000	4
3010	4
3020	4
3030	4
3040	4
3050	4
3060	4
3070	4
3080	4
3090	4
3100	4
3110	4
3120	4
3130	4
3140	4
3150	4
3160	4
3170	4
3180	4
3190	4
3200	4
3210	4
3220	4
3230	4
3240	4
3250	4
3260	4
3270	4
3280	4
3290	4
3300	4
3310	4
3320	4
3330	4
3340	4
3350	4
3360	4
3370	4
3380	4
3390	4
3400	4
3410	4
3420	4
3430	4
3440	4
3450	4
3460	4
3470	4
3480	4
3490	4
3500	4
3510	4
3520	4
3530	4
3540	4
3550	4
3560	4
3570	4
3580	4
3590	4
3600	4
3610	4
3620	4
3630	4
3640	4
3650	4
3660	4
3670	4
3680	4
3690	4
3700	4
3710	4
3720	4
3730	4
3740	4
3750	4
3760	4
3770	4
3780	4
3790	4
3800	4
3810	4
3820	4
3830	4
3840	4
3850	4
3860	4
3870	4
3880	4
3890	4
3900	4
3910	4
3920	4
3930	4
3940	4
3950	4
3960	4
3970	4
3980	4
3990	4
4000	4
4010	4
4020	4
4030	4
4040	4
4050	4
4060	4
4070	4
4080	4
4090	4
4100	4
4110	4
4120	4
4130	4
4140	4
4150	4
4160	4
4170	4
4180	4
4190	4
4200	4
4210	4
4220	4
4230	4
4240	4
4250	4
4260	4
4270	4
4280	4
4290	4
4300	4
4310	4
4320	4
4330	4
4340	4
4350	4
4360	4
4370	4
4380	4
4390	4
4400	4
4410	4
4420	4
4430	4
4440	4
4450	4
4460	4
4470	4
4480	4
4490	4
4500	4
4510	4
4520	4
4530	4
4540	4
4550	4
4560	4
4570	4
4580	4
4590	4
4600	4
4610	4
4620	4
4630	4
4640	4
4650	4
4660	4
4670	4
4680	4
4690	4
4700	4
4710	4
4720	4
4730	4
4740	4
4750	4
4760	4
4770	4
4780	4
4790	4
4800	4
4810	4
4820	4
4830	4
4840	4
4850	4
4860	4
4870	4
4880	4
4890	4
4900	4
4910	4
4920	4
4930	4
4940	4
4950	4
4960	4
4970	4
4980	4
4990	4
5000	4
5010	4
5020	4
5030	4
5040	4
5050	4
5060	4
5070	4
5080	4
5090	4
5100	4
5110	4
5120	4
5130	4
5140	4
5150	4
5160	4
5170	4
5180	4
5190	4
5200	4
5210	4
5220	4
5230	4
5240	4
5250	4
5260	4
5270	4
5280	4
5290	4
5300	4
5310	4
5320	4
5330	4
5340	4
5350	4
5360	4
5370	4
5380	4
5390	4
5400	4
5410	4
5420	4
5430	4
5440	4
5450	4
5460	4
5470	4
5480	4
5490	4
5500	4
5510	4
5520	4
5530	4
5540	4
5550	4
5560	4
5570	4
5580	4
5590	4
5600	4
5610	4
5620	4
5630	4
5640	4
5650	4
5660	4
5670	4
5680	4
5690	4
5700	4
5710	4
5720	4
5730	4
5740	4
5750	4
5760	4
5770	4
5780	4
5790	4
5800	4
5810	4
5820	4
5830	4
5840	4
5850	4
5860	4
5870	4
5880	4
5890	4
5900	4
5910	4
5920	4
5930	4
5940	4
5950	4
5960	4
5970	4
5980	4
5990	4
6000	4
6010	4
6020	4
6030	4
6040	4
6050	4
6060	4
6070	4
6080	4
6090	4
6100	4
6110	4
6120	4
6130	4
6140	4
6150	4
6160	4
6170	4
6180	4
6190	4
6200	4
6210	4
6220	4
6230	4
6240	4
6250	4
6260	4
6270	4
6280	4
6290	4
6300	4
6310	4
6320	4
6330	4
6340	4
6350	4
6360	4
6370	4
6380	4
6390	4
6400	4
6410	4
6420	4
6430	4
6440	4
6450	4
6460	4
6470	4
6480	4
6490	4
6500	4
6510	4
6520	4
6530	4
6540	4
6550	4
6560	4
6570	4
6580	4
6590	4
6600	4
6610	4
6620	4
6630	4
6640	4
6650	4
6660	4
6670	4
6680	4
6690	4
6700	4
6710	4
6720	4
6730	4
6740	4
6750	4
6760	4
6770	4
6780	4
6790	4
6800	4
6810	4
6820	4
6830	4
6840	4
6850	4
6860	4
6870	4
6880	4
6890	4
6900	4
6910	4
6920	4
6930	4
6940	4
6950	4
6960	4
6970	4
6980	4
6990	4
7000	4
7010	4
7020	4
7030	4
7040	4
7050	4
7060	4
7070	4
7080	4
7090	4
7100	4
7110	4
7120	4
7130	4
7140	4
7150	4
7160	4
7170	4
7180	4
7190	4
7200	4
7210	4
7220	4
