Seconds	Methods
10	4
20	4
30	4
40	4
50	4
60	4
70	4
80	4
90	4
100	4
110	4
120	4
130	4
140	4
150	4
160	4
170	4
180	4
190	4
200	4
210	4
220	4
230	4
240	4
250	4
260	4
270	4
280	4
290	4
300	4
310	4
320	4
330	4
340	4
350	4
360	4
370	4
380	4
390	4
400	4
410	4
420	4
430	4
440	4
450	4
460	4
470	4
480	4
490	4
500	4
510	4
520	4
530	4
540	4
550	4
560	4
570	4
580	4
590	4
600	4
610	4
620	4
630	4
640	4
650	4
660	4
670	4
680	4
690	4
700	4
710	4
720	4
730	4
740	4
750	4
760	4
770	4
780	4
790	4
800	4
810	4
820	4
830	4
840	4
850	4
860	4
870	4
880	4
890	4
900	4
910	4
920	4
930	4
940	4
950	4
960	4
970	4
980	4
990	4
1000	4
1010	4
1020	4
1030	4
1040	4
1050	4
1060	4
1070	4
1080	4
1090	4
1100	4
1110	4
1120	4
1130	4
1140	4
1150	4
1160	4
1170	4
1180	4
1190	4
1200	4
1210	4
1220	4
1230	4
1240	4
1250	4
1260	4
1270	4
1280	4
1290	4
1300	4
1310	4
1320	4
1330	4
1340	4
1350	4
1360	4
1370	4
1380	4
1390	4
1400	4
1410	4
1420	4
1430	4
1440	4
1450	4
1460	4
1470	4
1480	4
1490	4
1500	4
1510	4
1520	4
1530	4
1540	4
1550	4
1560	4
1570	4
1580	4
1590	4
1600	4
1610	4
1620	4
1630	4
1640	4
1650	4
1660	4
1670	4
1680	4
1690	4
1700	4
1710	4
1720	4
1730	4
1740	4
1750	4
1760	4
1770	4
1780	4
1790	4
1800	4
1810	4
1820	4
1830	4
1840	4
1850	4
1860	4
1870	4
1880	4
1890	4
1900	4
1910	4
1920	4
1930	4
1940	4
1950	4
1960	4
1970	4
1980	4
1990	4
2000	4
2010	4
2020	4
2030	4
2040	4
2050	4
2060	4
2070	4
2080	4
2090	4
2100	4
2110	4
2120	4
2130	4
2140	4
2150	4
2160	4
2170	4
2180	4
2190	4
2200	4
2210	4
2220	4
2230	4
2240	4
2250	4
2260	4
2270	4
2280	4
2290	4
2300	4
2310	4
2320	4
2330	4
2340	4
2350	4
2360	4
2370	4
2380	4
2390	4
2400	4
2410	4
2420	4
2430	4
2440	4
2450	4
2460	4
2470	4
2480	4
2490	4
2500	4
2510	4
2520	4
2530	4
2540	4
2550	4
2560	4
2570	4
2580	4
2590	4
2600	4
2610	4
2620	4
2630	4
2640	4
2650	4
2660	4
2670	4
2680	4
2690	4
2700	4
2710	4
2720	4
2730	4
2740	4
2750	4
2760	4
2770	4
2780	4
2790	4
2800	4
2810	4
2820	4
2830	4
2840	4
2850	4
2860	4
2870	4
2880	4
2890	4
2900	4
2910	4
2920	4
2930	4
2940	4
2950	4
2960	4
2970	4
2980	4
2990	4
3000	4
3010	4
3020	4
3030	4
3040	4
3050	4
3060	4
3070	4
3080	4
3090	4
3100	4
3110	4
3120	4
3130	4
3140	4
3150	4
3160	4
3170	4
3180	4
3190	4
3200	4
3210	4
3220	4
3230	4
3240	4
3250	4
3260	4
3270	4
3280	4
3290	4
3300	4
3310	4
3320	4
3330	4
3340	4
3350	4
3360	4
3370	4
3380	4
3390	4
3400	4
3410	4
3420	4
3430	4
3440	4
3450	4
3460	4
3470	4
3480	4
3490	4
3500	4
3510	4
3520	4
3530	4
3540	4
3550	4
3560	4
3570	4
3580	4
3590	4
3600	4
3610	4
3620	4
3630	4
3640	4
3650	4
3660	4
3670	4
3680	4
3690	4
3700	4
3710	4
3720	4
3730	4
3740	4
3750	4
3760	4
3770	4
3780	4
3790	4
3800	4
3810	4
3820	4
3830	4
3840	4
3850	4
3860	4
3870	4
3880	4
3890	4
3900	4
3910	4
3920	4
3930	4
3940	4
3950	4
3960	4
3970	4
3980	4
3990	4
4000	4
4010	4
4020	4
4030	4
4040	4
4050	4
4060	4
4070	4
4080	4
4090	4
4100	4
4110	4
4120	4
4130	4
4140	4
4150	4
4160	4
4170	4
4180	4
4190	4
4200	4
4210	4
4220	4
4230	4
4240	4
4250	4
4260	4
4270	4
4280	4
4290	4
4300	4
4310	4
4320	4
4330	4
4340	4
4350	4
4360	4
4370	4
4380	4
4390	4
4400	4
4410	4
4420	4
4430	4
4440	4
4450	4
4460	4
4470	4
4480	4
4490	4
4500	4
4510	4
4520	4
4530	4
4540	4
4550	4
4560	4
4570	4
4580	4
4590	4
4600	4
4610	4
4620	4
4630	4
4640	4
4650	4
4660	4
4670	4
4680	4
4690	4
4700	4
4710	4
4720	4
4730	4
4740	4
4750	4
4760	4
4770	4
4780	4
4790	4
4800	4
4810	4
4820	4
4830	4
4840	4
4850	4
4860	4
4870	4
4880	4
4890	4
4900	4
4910	4
4920	4
4930	4
4940	4
4950	4
4960	4
4970	4
4980	4
4990	4
5000	4
5010	4
5020	4
5030	4
5040	4
5050	4
5060	4
5070	4
5080	4
5090	4
5100	4
