Seconds	Methods
10	9
20	9
30	9
40	9
50	9
60	9
70	9
80	9
90	9
100	9
110	9
120	9
130	9
140	9
150	9
160	9
170	9
180	9
190	9
200	9
210	9
220	9
230	9
240	9
250	9
260	9
270	9
280	9
290	9
300	9
310	9
320	9
330	9
340	9
350	9
360	9
370	9
380	9
390	9
400	9
410	9
420	9
430	9
440	9
450	9
460	9
470	9
480	9
490	9
500	9
510	9
520	9
530	9
540	9
550	9
560	9
570	9
580	9
590	9
600	9
610	9
620	9
630	9
640	9
650	9
660	9
670	9
680	9
690	9
700	9
710	9
720	9
730	9
740	9
750	9
760	9
770	9
780	9
790	9
800	9
810	9
820	9
830	9
840	9
850	9
860	9
870	9
880	9
890	9
900	9
910	9
920	9
930	9
940	9
950	9
960	9
970	9
980	9
990	9
1000	9
1010	9
1020	9
1030	9
1040	9
1050	9
1060	9
1070	9
1080	9
1090	9
1100	9
1110	9
1120	9
1130	9
1140	9
1150	9
1160	9
1170	9
1180	9
1190	9
1200	9
1210	9
1220	9
1230	9
1240	9
1250	9
1260	9
1270	9
1280	9
1290	9
1300	9
1310	9
1320	9
1330	9
1340	9
1350	9
1360	9
1370	9
1380	9
1390	9
1400	9
1410	9
1420	9
1430	9
1440	9
1450	9
1460	9
1470	9
1480	9
1490	9
1500	9
1510	9
1520	9
1530	9
1540	9
1550	9
1560	9
1570	9
1580	9
1590	9
1600	9
1610	9
1620	9
1630	9
1640	9
1650	9
1660	9
1670	9
1680	9
1690	9
1700	9
1710	9
1720	9
1730	9
1740	9
1750	9
1760	9
1770	9
1780	9
1790	9
1800	9
1810	9
1820	9
1830	9
1840	9
1850	9
1860	9
1870	9
1880	9
1890	9
1900	9
1910	9
1920	9
1930	9
1940	9
1950	9
1960	9
1970	9
1980	9
1990	9
2000	9
2010	9
2020	9
2030	9
2040	9
2050	9
2060	9
2070	9
2080	9
2090	9
2100	9
2110	9
2120	9
2130	9
2140	9
2150	9
2160	9
2170	9
2180	9
2190	9
2200	9
2210	9
2220	9
2230	9
2240	9
2250	9
2260	9
2270	9
2280	9
2290	9
2300	9
2310	9
2320	9
2330	9
2340	9
2350	9
2360	9
2370	9
2380	9
2390	9
2400	9
2410	9
2420	9
2430	9
2440	9
2450	9
2460	9
2470	9
2480	9
2490	9
2500	9
2510	9
2520	9
2530	9
2540	9
2550	9
2560	9
2570	9
2580	9
2590	9
2600	9
2610	9
2620	9
2630	9
2640	9
2650	9
2660	9
2670	9
2680	9
2690	9
2700	9
2710	9
2720	9
2730	9
2740	9
2750	9
2760	9
2770	9
2780	9
2790	9
2800	9
2810	9
2820	9
2830	9
2840	9
2850	9
2860	9
2870	9
2880	9
2890	9
2900	9
2910	9
2920	9
2930	9
2940	9
2950	9
2960	9
2970	9
2980	9
2990	9
3000	9
3010	9
3020	9
3030	9
3040	9
3050	9
3060	9
3070	9
3080	9
3090	9
3100	9
3110	9
3120	9
3130	9
3140	9
3150	9
3160	9
3170	9
3180	9
3190	9
3200	9
3210	9
3220	9
3230	9
3240	9
3250	9
3260	9
3270	9
3280	9
3290	9
3300	9
3310	9
3320	9
3330	9
3340	9
3350	9
3360	9
3370	9
3380	9
3390	9
3400	9
3410	9
3420	9
3430	9
3440	9
3450	9
3460	9
3470	9
3480	9
3490	9
3500	9
3510	9
3520	9
3530	9
3540	9
3550	9
3560	9
3570	9
3580	9
3590	9
3600	9
3610	9
3620	9
3630	9
3640	9
3650	9
3660	9
3670	9
3680	9
3690	9
3700	9
3710	9
3720	9
3730	9
3740	9
3750	9
3760	9
3770	9
3780	9
3790	9
3800	9
3810	9
3820	9
3830	9
3840	9
3850	9
3860	9
3870	9
3880	9
3890	9
3900	9
3910	9
3920	9
3930	9
3940	9
3950	9
3960	9
3970	9
3980	9
3990	9
4000	9
4010	9
4020	9
4030	9
4040	9
4050	9
4060	9
4070	9
4080	9
4090	9
4100	9
4110	9
4120	9
4130	9
4140	9
4150	9
4160	9
4170	9
4180	9
4190	9
4200	9
4210	9
4220	9
4230	9
4240	9
4250	9
4260	9
4270	9
4280	9
4290	9
4300	9
4310	9
4320	9
4330	9
4340	9
4350	9
4360	9
4370	9
4380	9
4390	9
4400	9
4410	9
4420	9
4430	9
4440	9
4450	9
4460	9
4470	9
4480	9
4490	9
4500	9
4510	9
4520	9
4530	9
4540	9
4550	9
4560	9
4570	9
4580	9
4590	9
4600	9
4610	9
4620	9
4630	9
4640	9
4650	9
4660	9
4670	9
4680	9
4690	9
4700	9
4710	9
4720	9
4730	9
4740	9
4750	9
4760	9
4770	9
4780	9
4790	9
4800	9
4810	9
4820	9
4830	9
4840	9
4850	9
4860	9
4870	9
4880	9
4890	9
4900	9
4910	9
4920	9
4930	9
4940	9
4950	9
4960	9
4970	9
4980	9
4990	9
5000	9
5010	9
5020	9
5030	9
5040	9
5050	9
5060	9
5070	9
5080	9
5090	9
5100	9
5110	9
5120	9
5130	9
5140	9
5150	9
5160	9
5170	9
5180	9
5190	9
5200	9
5210	9
