Seconds	Methods
10	5
20	8
30	10
40	10
50	11
60	11
70	11
80	11
90	11
100	11
110	11
120	11
130	11
140	11
150	12
160	12
170	12
180	12
190	12
200	12
210	12
220	12
230	12
240	12
250	12
260	12
270	12
280	12
290	12
300	12
310	12
320	12
330	12
340	12
350	12
360	12
370	12
380	12
390	12
400	12
410	12
420	12
430	12
440	12
450	12
460	12
470	12
480	12
490	12
500	12
510	12
520	12
530	13
540	13
550	13
560	13
570	13
580	13
590	13
600	13
610	13
620	13
630	13
640	13
650	13
660	13
670	13
680	13
690	13
700	13
710	13
720	13
730	13
740	13
750	13
760	13
770	13
780	13
790	13
800	13
810	13
820	13
830	13
840	13
850	13
860	13
870	13
880	13
890	13
900	13
910	13
920	13
930	13
940	13
950	13
960	13
970	13
980	13
990	13
1000	13
1010	13
1020	13
1030	13
1040	13
1050	13
1060	13
1070	13
1080	13
1090	13
1100	13
1110	13
1120	13
1130	13
1140	13
1150	13
1160	13
1170	13
1180	13
1190	13
1200	13
1210	13
1220	13
1230	13
1240	13
1250	13
1260	13
1270	13
1280	13
1290	13
1300	13
1310	13
1320	13
1330	13
1340	13
1350	13
1360	13
1370	13
1380	13
1390	53
1400	53
1410	53
1420	53
1430	53
1440	53
1450	53
1460	58
1470	58
1480	58
1490	58
1500	58
1510	58
1520	58
1530	58
1540	58
1550	58
1560	58
1570	58
1580	58
1590	58
1600	58
1610	58
1620	58
1630	58
1640	58
1650	58
1660	58
1670	58
1680	58
1690	58
1700	58
1710	58
1720	58
1730	58
1740	58
1750	58
1760	58
1770	58
1780	58
1790	58
1800	58
1810	58
1820	58
1830	58
1840	58
1850	58
1860	58
1870	58
1880	58
1890	58
1900	58
1910	58
1920	58
1930	58
1940	58
1950	58
1960	58
1970	58
1980	58
1990	58
2000	58
2010	58
2020	58
2030	58
2040	58
2050	58
2060	58
2070	58
2080	58
2090	58
2100	58
2110	58
2120	58
2130	58
2140	58
2150	58
2160	58
2170	58
2180	58
2190	58
2200	58
2210	58
2220	58
2230	58
2240	58
2250	58
2260	58
2270	58
2280	58
2290	58
2300	58
2310	58
2320	58
2330	58
2340	58
2350	58
2360	58
2370	58
2380	58
2390	58
2400	58
2410	58
2420	58
2430	58
2440	58
2450	58
2460	58
2470	58
2480	58
2490	58
2500	58
2510	58
2520	58
2530	58
2540	58
2550	58
2560	58
2570	58
2580	58
2590	58
2600	58
2610	58
2620	58
2630	58
2640	58
2650	58
2660	58
2670	58
2680	58
2690	58
2700	58
2710	58
2720	58
2730	58
2740	58
2750	58
2760	58
2770	58
2780	58
2790	58
2800	58
2810	58
2820	58
2830	58
2840	58
2850	58
2860	58
2870	58
2880	58
2890	58
2900	58
2910	58
2920	58
2930	58
2940	58
2950	58
2960	58
2970	58
2980	58
2990	58
3000	58
3010	58
3020	58
3030	58
3040	58
3050	58
3060	58
3070	58
3080	58
3090	58
3100	58
3110	58
3120	58
3130	58
3140	58
3150	58
3160	58
3170	58
3180	58
3190	58
3200	58
3210	58
3220	58
3230	58
3240	58
3250	58
3260	58
3270	58
3280	58
3290	58
3300	58
3310	58
3320	58
3330	58
3340	58
3350	58
3360	58
3370	58
3380	58
3390	58
3400	58
3410	58
3420	58
3430	58
3440	58
3450	58
3460	58
3470	58
3480	58
3490	58
3500	58
3510	58
3520	58
3530	58
3540	58
3550	58
3560	58
3570	58
3580	58
3590	58
3600	58
3610	58
3620	58
3630	58
3640	58
3650	58
3660	58
3670	58
3680	58
3690	58
3700	58
3710	58
3720	58
3730	58
3740	58
3750	58
3760	58
3770	58
3780	58
3790	58
3800	58
3810	58
3820	58
3830	58
3840	58
3850	58
3860	58
3870	58
3880	58
3890	58
3900	58
3910	58
3920	58
3930	58
3940	58
3950	58
3960	58
3970	58
3980	58
3990	58
4000	58
4010	58
4020	58
4030	58
4040	58
4050	58
4060	58
4070	58
4080	58
4090	58
4100	58
4110	58
4120	58
4130	58
4140	58
4150	58
4160	58
4170	58
4180	58
4190	58
4200	58
4210	58
4220	58
4230	58
4240	58
4250	58
4260	58
4270	58
4280	58
4290	58
4300	58
4310	58
4320	58
4330	58
4340	58
4350	58
4360	58
4370	58
4380	58
4390	58
4400	58
4410	58
4420	58
4430	58
4440	58
4450	58
4460	58
4470	58
4480	58
4490	58
4500	58
4510	58
4520	58
4530	58
4540	58
4550	58
4560	58
4570	58
4580	58
4590	58
4600	58
4610	58
4620	58
4630	58
4640	58
4650	58
4660	58
4670	58
4680	58
4690	58
4700	58
4710	58
4720	58
4730	58
4740	58
4750	58
4760	58
4770	58
4780	58
4790	58
4800	58
4810	58
4820	58
4830	58
4840	58
4850	58
4860	58
4870	58
4880	58
4890	58
4900	58
4910	58
4920	58
4930	58
4940	58
4950	58
4960	58
4970	58
4980	58
4990	58
5000	58
5010	58
5020	58
5030	58
5040	58
5050	58
5060	58
