Seconds	Methods
10	4
20	4
30	4
40	4
50	4
60	4
70	4
80	4
90	4
100	4
110	4
120	4
130	4
140	4
150	6
160	6
170	6
180	6
190	6
200	6
210	6
220	6
230	6
240	6
250	6
260	6
270	6
280	6
290	6
300	6
310	6
320	6
330	6
340	6
350	6
360	6
370	6
380	6
390	6
400	6
410	6
420	6
430	6
440	6
450	6
460	6
470	6
480	6
490	6
500	6
510	6
520	6
530	6
540	6
550	6
560	6
570	6
580	6
590	6
600	6
610	6
620	6
630	6
640	6
650	6
660	6
670	6
680	6
690	6
700	6
710	6
720	6
730	6
740	6
750	6
760	6
770	6
780	6
790	6
800	6
810	6
820	6
830	6
840	6
850	6
860	6
870	6
880	6
890	6
900	6
910	6
920	6
930	6
940	6
950	6
960	10
970	10
980	10
990	10
1000	10
1010	10
1020	10
1030	10
1040	10
1050	10
1060	10
1070	10
1080	10
1090	10
1100	10
1110	10
1120	10
1130	10
1140	10
1150	10
1160	10
1170	10
1180	10
1190	10
1200	10
1210	10
1220	10
1230	10
1240	10
1250	10
1260	10
1270	10
1280	10
1290	10
1300	10
1310	10
1320	10
1330	10
1340	10
1350	10
1360	10
1370	10
1380	10
1390	10
1400	10
1410	10
1420	10
1430	10
1440	10
1450	10
1460	10
1470	10
1480	10
1490	10
1500	10
1510	10
1520	10
1530	10
1540	10
1550	10
1560	10
1570	10
1580	10
1590	10
1600	10
1610	10
1620	10
1630	10
1640	10
1650	10
1660	10
1670	10
1680	10
1690	10
1700	10
1710	10
1720	10
1730	10
1740	10
1750	10
1760	10
1770	10
1780	10
1790	10
1800	10
1810	10
1820	10
1830	10
1840	10
1850	10
1860	10
1870	10
1880	10
1890	10
1900	10
1910	10
1920	10
1930	10
1940	10
1950	10
1960	10
1970	10
1980	10
1990	10
2000	10
2010	10
2020	10
2030	10
2040	10
2050	10
2060	10
2070	10
2080	10
2090	10
2100	10
2110	10
2120	10
2130	10
2140	10
2150	10
2160	10
2170	10
2180	10
2190	10
2200	10
2210	10
2220	10
2230	10
2240	10
2250	10
2260	10
2270	10
2280	10
2290	10
2300	10
2310	10
2320	10
2330	10
2340	10
2350	10
2360	10
2370	10
2380	10
2390	10
2400	10
2410	10
2420	10
2430	10
2440	10
2450	10
2460	10
2470	10
2480	10
2490	10
2500	10
2510	10
2520	10
2530	10
2540	10
2550	10
2560	10
2570	10
2580	10
2590	10
2600	10
2610	10
2620	10
2630	10
2640	10
2650	10
2660	10
2670	10
2680	10
2690	10
2700	10
2710	10
2720	10
2730	10
2740	10
2750	10
2760	10
2770	10
2780	10
2790	10
2800	10
2810	10
2820	10
2830	10
2840	10
2850	10
2860	10
2870	10
2880	10
2890	10
2900	10
2910	10
2920	10
2930	10
2940	10
2950	10
2960	10
2970	10
2980	10
2990	10
3000	10
3010	10
3020	10
3030	10
3040	10
3050	10
3060	10
3070	10
3080	10
3090	10
3100	10
3110	10
3120	10
3130	10
3140	10
3150	10
3160	10
3170	10
3180	10
3190	10
3200	10
3210	10
3220	10
3230	14
3240	14
3250	14
3260	14
3270	14
3280	14
3290	14
3300	14
3310	14
3320	14
3330	14
3340	14
3350	14
3360	14
3370	14
3380	14
3390	14
3400	14
3410	14
3420	14
3430	14
3440	14
3450	14
3460	14
3470	14
3480	14
3490	14
3500	14
3510	14
3520	14
3530	14
3540	14
3550	14
3560	14
3570	14
3580	14
3590	14
3600	14
3610	14
3620	14
