Seconds	Methods
10	3
20	5
30	5
40	5
50	5
60	5
70	5
80	5
90	5
100	5
110	5
120	5
130	5
140	5
150	5
160	5
170	5
180	5
190	5
200	5
210	5
220	5
230	5
240	5
250	5
260	5
270	5
280	5
290	5
300	5
310	5
320	5
330	5
340	5
350	5
360	5
370	5
380	5
390	5
400	5
410	5
420	5
430	5
440	5
450	5
460	5
470	5
480	5
490	5
500	5
510	5
520	5
530	5
540	5
550	5
560	5
570	5
580	5
590	5
600	5
610	5
620	5
630	5
640	5
650	5
660	5
670	5
680	5
690	5
700	5
710	5
720	5
730	5
740	5
750	5
760	5
770	5
780	5
790	5
800	5
810	5
820	5
830	5
840	5
850	5
860	5
870	5
880	5
890	5
900	5
910	5
920	5
930	5
940	5
950	5
960	5
970	5
980	5
990	5
1000	5
1010	5
1020	5
1030	5
1040	5
1050	5
1060	5
1070	5
1080	5
1090	5
1100	5
1110	5
1120	5
1130	5
1140	5
1150	5
1160	5
1170	5
1180	5
1190	5
1200	5
1210	5
1220	5
1230	5
1240	5
1250	5
1260	5
1270	5
1280	5
1290	5
1300	5
1310	5
1320	5
1330	5
1340	5
1350	5
1360	5
1370	5
1380	5
1390	5
1400	5
1410	5
1420	5
1430	5
1440	5
1450	5
1460	5
1470	5
1480	5
1490	5
1500	5
1510	5
1520	5
1530	5
1540	5
1550	5
1560	5
1570	5
1580	5
1590	5
1600	5
1610	5
1620	5
1630	5
1640	5
1650	5
1660	5
1670	5
1680	5
1690	5
1700	5
1710	5
1720	5
1730	5
1740	5
1750	5
1760	5
1770	5
1780	5
1790	5
1800	5
1810	5
1820	5
1830	5
1840	5
1850	5
1860	5
1870	5
1880	5
1890	5
1900	5
1910	5
1920	5
1930	5
1940	5
1950	5
1960	5
1970	5
1980	5
1990	5
2000	5
2010	5
2020	5
2030	5
2040	5
2050	5
2060	5
2070	5
2080	5
2090	5
2100	5
2110	5
2120	5
2130	5
2140	5
2150	5
2160	5
2170	5
2180	5
2190	5
2200	5
2210	5
2220	5
2230	5
2240	5
2250	5
2260	5
2270	5
2280	5
2290	5
2300	5
2310	5
2320	5
2330	5
2340	5
2350	5
2360	5
2370	5
2380	5
2390	5
2400	5
2410	5
2420	5
2430	5
2440	5
2450	5
2460	5
2470	5
2480	5
2490	5
2500	5
2510	5
2520	5
2530	5
2540	5
2550	5
2560	5
2570	5
2580	5
2590	5
2600	5
2610	5
2620	5
2630	5
2640	5
2650	5
2660	5
2670	5
2680	5
2690	5
2700	5
2710	5
2720	5
2730	5
2740	5
2750	5
2760	5
2770	5
2780	5
2790	5
2800	5
2810	5
2820	5
2830	5
2840	5
2850	5
2860	5
2870	5
2880	5
2890	5
2900	5
2910	5
2920	5
2930	5
2940	5
2950	5
2960	5
2970	5
2980	5
2990	5
3000	5
3010	5
3020	5
3030	5
3040	5
3050	5
3060	5
3070	5
3080	5
3090	5
3100	5
3110	5
3120	5
3130	5
3140	5
3150	5
3160	5
3170	5
3180	5
3190	5
3200	5
3210	5
3220	5
3230	5
3240	5
3250	5
3260	5
3270	5
3280	5
3290	5
3300	5
3310	5
3320	5
3330	5
3340	5
3350	5
3360	5
3370	5
3380	5
3390	5
3400	5
3410	5
3420	5
3430	5
3440	5
3450	5
3460	5
3470	5
3480	5
3490	5
3500	5
3510	5
3520	5
3530	5
3540	5
3550	5
3560	5
3570	5
3580	5
3590	5
3600	5
3610	5
3620	5
3630	5
3640	5
3650	5
3660	5
3670	5
3680	5
3690	5
3700	5
3710	5
3720	5
3730	5
3740	5
3750	5
3760	5
3770	5
3780	5
3790	5
3800	5
3810	5
3820	5
3830	5
3840	5
3850	5
3860	5
3870	5
3880	5
3890	5
3900	5
3910	5
3920	5
3930	5
3940	5
3950	5
3960	5
3970	5
3980	5
3990	5
4000	5
4010	5
4020	5
4030	5
4040	5
4050	5
4060	5
4070	5
4080	5
4090	5
4100	5
4110	5
4120	5
4130	5
4140	5
4150	5
4160	5
4170	5
4180	5
4190	5
4200	5
4210	5
4220	5
4230	5
4240	5
4250	5
4260	5
4270	5
4280	5
4290	5
4300	5
4310	5
4320	5
4330	5
4340	5
4350	5
4360	5
4370	5
4380	5
4390	5
4400	5
4410	5
4420	5
4430	6
4440	6
4450	6
4460	6
4470	6
4480	6
4490	6
4500	6
4510	6
4520	6
4530	6
4540	6
4550	6
4560	6
4570	6
4580	6
4590	6
4600	6
4610	6
4620	6
4630	6
4640	6
4650	6
4660	6
4670	6
4680	6
4690	6
4700	6
4710	6
4720	6
4730	6
4740	6
4750	6
4760	6
4770	6
4780	6
4790	6
4800	6
4810	6
4820	6
4830	6
4840	6
4850	6
4860	6
4870	6
4880	6
4890	6
4900	6
4910	6
4920	6
4930	6
4940	6
4950	6
4960	6
4970	6
4980	6
4990	6
5000	6
5010	6
5020	6
5030	6
5040	6
5050	6
5060	6
5070	6
5080	6
5090	6
5100	6
5110	6
5120	6
5130	6
5140	6
5150	6
5160	6
5170	6
5180	6
5190	6
5200	6
5210	6
5220	6
5230	6
5240	6
5250	6
5260	6
5270	6
5280	6
5290	6
5300	6
5310	6
5320	6
5330	6
5340	6
5350	6
5360	6
5370	6
5380	6
5390	6
5400	6
5410	6
5420	6
5430	6
5440	6
5450	6
5460	6
5470	6
5480	6
5490	6
5500	6
5510	6
5520	6
5530	6
5540	6
5550	6
5560	6
5570	6
5580	6
5590	6
5600	6
5610	6
5620	6
