Seconds	Methods
10	5
20	5
30	5
40	5
50	5
60	5
70	5
80	5
90	5
100	5
110	5
120	5
130	5
140	5
150	5
160	5
170	5
180	5
190	5
200	5
210	5
220	5
230	5
240	5
250	5
260	5
270	5
280	5
290	5
300	5
310	5
320	5
330	5
340	5
350	5
360	5
370	5
380	5
390	5
400	5
410	5
420	5
430	5
440	5
450	5
460	5
470	5
480	5
490	5
500	5
510	5
520	5
530	5
540	5
550	5
560	5
570	5
580	5
590	5
600	5
610	5
620	5
630	5
640	5
650	5
660	5
670	5
680	5
690	5
700	5
710	5
720	5
730	5
740	5
750	5
760	5
770	5
780	5
790	5
800	5
810	5
820	5
830	5
840	5
850	5
860	5
870	5
880	5
890	5
900	5
910	5
920	5
930	5
940	5
950	5
960	5
970	5
980	5
990	5
1000	5
1010	5
1020	5
1030	5
1040	5
1050	5
1060	5
1070	5
1080	5
1090	5
1100	5
1110	5
1120	5
1130	5
1140	5
1150	5
1160	5
1170	5
1180	5
1190	5
1200	5
1210	5
1220	5
1230	5
1240	5
1250	5
1260	5
1270	5
1280	5
1290	5
1300	5
1310	5
1320	5
1330	5
1340	5
1350	5
1360	5
1370	5
1380	5
1390	5
1400	5
1410	5
1420	5
1430	5
1440	5
1450	5
1460	5
1470	5
1480	5
1490	5
1500	5
1510	5
1520	5
1530	5
1540	5
1550	5
1560	5
1570	5
1580	5
1590	5
1600	5
1610	5
1620	5
1630	5
1640	5
1650	5
1660	5
1670	5
1680	5
1690	5
1700	5
1710	5
1720	5
1730	5
1740	5
1750	5
1760	5
1770	5
1780	5
1790	5
1800	5
1810	5
1820	5
1830	5
1840	5
1850	5
1860	5
1870	5
1880	5
1890	5
1900	5
1910	5
1920	5
1930	5
1940	5
1950	5
1960	5
1970	5
1980	5
1990	5
2000	5
2010	5
2020	5
2030	5
2040	5
2050	5
2060	5
2070	5
2080	5
2090	5
2100	5
2110	5
2120	5
2130	5
2140	5
2150	5
2160	5
2170	5
2180	5
2190	5
2200	5
2210	5
2220	5
2230	5
2240	5
2250	5
2260	5
2270	5
2280	5
2290	5
2300	5
2310	5
2320	5
2330	5
2340	5
2350	5
2360	5
2370	5
2380	5
2390	5
2400	5
2410	5
2420	5
2430	5
2440	5
2450	5
2460	5
2470	5
2480	5
2490	5
2500	5
2510	5
2520	5
2530	5
2540	5
2550	5
2560	5
2570	5
2580	5
2590	5
2600	5
2610	5
2620	5
2630	5
2640	5
2650	5
2660	5
2670	5
2680	5
2690	5
2700	5
2710	5
2720	5
2730	5
2740	5
2750	5
2760	5
2770	5
2780	5
2790	5
2800	5
2810	5
2820	5
2830	5
2840	5
2850	5
2860	5
2870	5
2880	5
2890	5
2900	5
2910	5
2920	5
2930	5
2940	5
2950	5
2960	5
2970	5
2980	5
2990	5
3000	5
3010	5
3020	5
3030	5
3040	5
3050	5
3060	5
3070	5
3080	5
3090	5
3100	5
3110	5
3120	5
3130	5
3140	5
3150	5
3160	5
3170	5
3180	5
3190	5
3200	5
3210	5
3220	5
3230	5
3240	5
3250	5
3260	5
3270	5
3280	5
3290	5
3300	5
3310	5
3320	5
3330	5
3340	5
3350	5
3360	5
3370	5
3380	5
3390	5
3400	5
3410	5
3420	5
3430	5
3440	5
3450	5
3460	5
3470	5
3480	5
3490	5
3500	5
3510	5
3520	5
3530	5
3540	5
3550	5
3560	5
3570	5
3580	5
3590	5
3600	5
3610	5
3620	5
3630	5
3640	5
3650	5
3660	5
3670	5
3680	5
3690	5
3700	5
3710	5
3720	5
3730	5
3740	5
3750	5
3760	5
3770	5
3780	5
3790	5
3800	5
3810	5
3820	5
3830	5
3840	5
3850	5
3860	5
3870	5
3880	5
3890	5
3900	5
3910	5
3920	5
3930	5
3940	5
3950	5
3960	5
3970	5
3980	5
3990	5
4000	5
4010	5
4020	5
4030	5
4040	5
4050	5
4060	5
4070	5
4080	5
4090	5
4100	5
4110	5
4120	5
4130	5
4140	5
4150	5
4160	5
4170	5
4180	5
4190	5
4200	5
4210	5
4220	5
4230	5
4240	5
4250	5
4260	5
4270	5
4280	5
4290	5
4300	5
4310	5
4320	5
4330	5
4340	5
4350	5
4360	5
4370	5
4380	5
4390	5
4400	5
4410	5
4420	5
4430	5
4440	5
4450	5
4460	5
4470	5
4480	5
4490	5
4500	5
4510	5
4520	5
4530	5
4540	5
4550	5
4560	5
4570	5
4580	5
4590	5
4600	5
4610	5
4620	5
4630	5
4640	5
4650	5
4660	5
4670	5
4680	5
4690	5
4700	5
4710	5
4720	5
4730	5
4740	5
4750	5
4760	5
4770	5
4780	5
4790	5
4800	5
4810	7
4820	7
4830	7
4840	7
4850	7
4860	7
4870	7
4880	7
4890	7
4900	7
4910	7
4920	7
4930	7
4940	7
4950	7
4960	7
4970	7
4980	7
4990	7
5000	7
5010	7
5020	7
5030	7
5040	7
5050	7
5060	7
5070	7
5080	7
5090	7
5100	7
5110	7
5120	7
5130	7
5140	7
5150	7
5160	7
5170	7
5180	7
5190	7
5200	7
5210	7
5220	7
5230	7
5240	7
5250	7
5260	7
5270	7
5280	7
5290	7
5300	7
5310	7
5320	7
5330	7
5340	7
5350	7
5360	7
5370	7
5380	7
5390	7
5400	7
5410	7
5420	7
5430	7
5440	7
5450	7
5460	7
5470	7
5480	7
5490	7
5500	7
5510	7
5520	7
5530	7
5540	7
5550	7
5560	7
5570	7
5580	7
5590	7
5600	7
5610	7
5620	7
5630	7
5640	7
5650	7
5660	7
5670	7
5680	7
5690	7
5700	7
5710	7
5720	7
5730	7
5740	7
5750	7
5760	7
5770	7
5780	7
5790	7
5800	7
5810	7
5820	7
5830	7
5840	7
5850	7
5860	7
5870	7
5880	7
5890	7
5900	7
5910	7
5920	7
5930	7
5940	7
5950	7
5960	7
5970	7
5980	7
5990	7
6000	7
6010	7
6020	7
6030	7
6040	7
6050	7
6060	7
6070	7
6080	7
6090	7
6100	7
6110	7
6120	7
6130	7
6140	7
6150	7
6160	7
6170	7
6180	7
6190	7
6200	7
6210	7
6220	7
6230	7
6240	7
6250	7
6260	7
6270	7
6280	7
6290	7
6300	7
6310	7
6320	7
6330	7
6340	7
6350	7
6360	7
6370	7
6380	7
6390	7
6400	7
6410	7
6420	7
6430	7
6440	7
6450	7
6460	7
6470	7
6480	7
6490	7
6500	7
6510	7
6520	7
6530	7
6540	7
6550	7
6560	7
6570	7
6580	7
6590	7
