Seconds	Methods
10	8
20	8
30	8
40	8
50	8
60	8
70	8
80	8
90	8
100	8
110	8
120	8
130	8
140	10
150	10
160	10
170	10
180	10
190	10
200	10
210	10
220	10
230	10
240	10
250	10
260	10
270	10
280	10
290	10
300	10
310	10
320	10
330	10
340	10
350	10
360	10
370	10
380	10
390	12
400	12
410	12
420	12
430	12
440	12
450	12
460	12
470	12
480	12
490	12
500	12
510	12
520	12
530	12
540	12
550	12
560	12
570	12
580	12
590	12
600	12
610	12
620	12
630	12
640	12
650	12
660	12
670	12
680	12
690	12
700	12
710	12
720	12
730	12
740	12
750	12
760	12
770	12
780	12
790	12
800	12
810	12
820	12
830	12
840	12
850	12
860	12
870	12
880	12
890	12
900	12
910	12
920	12
930	12
940	12
950	12
960	12
970	12
980	12
990	12
1000	12
1010	12
1020	12
1030	12
1040	12
1050	12
1060	12
1070	12
1080	12
1090	12
1100	12
1110	12
1120	12
1130	12
1140	12
1150	12
1160	12
1170	12
1180	12
1190	12
1200	12
1210	12
1220	12
1230	12
1240	12
1250	12
1260	12
1270	12
1280	12
1290	12
1300	12
1310	12
1320	12
1330	12
1340	12
1350	12
1360	12
1370	12
1380	12
1390	12
1400	12
1410	12
1420	12
1430	12
1440	12
1450	12
1460	12
1470	12
1480	12
1490	12
1500	12
1510	12
1520	12
1530	12
1540	12
1550	12
1560	12
1570	12
1580	12
1590	12
1600	12
1610	12
1620	12
1630	12
1640	12
1650	12
1660	12
1670	12
1680	12
1690	12
1700	12
1710	12
1720	12
1730	12
1740	12
1750	12
1760	12
1770	12
1780	12
1790	12
1800	12
1810	12
1820	12
1830	12
1840	12
1850	12
1860	12
1870	12
1880	12
1890	12
1900	12
1910	12
1920	12
1930	12
1940	12
1950	12
1960	12
1970	12
1980	12
1990	12
2000	12
2010	12
2020	12
2030	12
2040	12
2050	12
2060	12
2070	12
2080	12
2090	12
2100	12
2110	12
2120	12
2130	12
2140	12
2150	12
2160	12
2170	12
2180	12
2190	12
2200	12
2210	12
2220	12
2230	12
2240	12
2250	12
2260	12
2270	12
2280	12
2290	12
2300	12
2310	12
2320	12
2330	12
2340	12
2350	12
2360	12
2370	12
2380	12
2390	12
2400	12
2410	12
2420	12
2430	12
2440	12
2450	12
2460	12
2470	12
2480	12
2490	12
2500	12
2510	12
2520	12
2530	12
2540	12
2550	12
2560	12
2570	12
2580	12
2590	12
2600	12
2610	12
2620	12
2630	12
2640	12
2650	12
2660	12
2670	12
2680	12
2690	12
2700	12
2710	12
2720	12
2730	12
2740	12
2750	12
2760	12
2770	12
2780	12
2790	12
2800	12
2810	12
2820	12
2830	12
2840	12
2850	12
2860	12
2870	12
2880	12
2890	12
2900	12
2910	12
2920	12
2930	12
2940	12
2950	12
2960	12
2970	12
2980	12
2990	12
3000	12
3010	12
3020	12
3030	12
3040	12
3050	12
3060	12
3070	12
3080	12
3090	12
3100	12
3110	12
3120	12
3130	12
3140	12
3150	12
3160	12
3170	12
3180	12
3190	12
3200	12
3210	12
3220	12
3230	12
3240	12
3250	12
3260	12
3270	12
3280	12
3290	12
3300	12
3310	12
3320	12
3330	12
3340	12
3350	12
3360	12
3370	12
3380	12
3390	12
3400	12
3410	12
3420	12
3430	12
3440	12
3450	12
3460	12
3470	12
3480	12
3490	12
3500	12
3510	12
3520	12
3530	12
3540	12
3550	12
3560	12
3570	12
3580	12
3590	12
3600	12
3610	12
3620	12
3630	12
3640	12
3650	12
3660	12
3670	12
3680	12
3690	12
3700	12
3710	12
3720	12
3730	12
3740	12
3750	12
3760	12
3770	12
3780	12
3790	12
3800	12
3810	12
3820	12
3830	12
3840	12
3850	12
3860	12
3870	12
3880	12
3890	12
3900	12
3910	12
3920	12
3930	12
3940	12
3950	12
3960	12
3970	12
3980	12
3990	12
4000	12
4010	12
4020	12
4030	12
4040	12
4050	12
4060	12
4070	12
4080	12
4090	12
4100	12
4110	12
4120	12
4130	12
4140	12
4150	12
4160	12
4170	12
4180	12
4190	12
4200	12
4210	12
4220	12
4230	12
4240	12
4250	12
4260	12
4270	12
4280	12
4290	12
4300	12
4310	12
4320	12
4330	12
4340	12
4350	12
4360	12
4370	12
4380	12
4390	12
4400	12
4410	12
4420	12
4430	12
4440	12
4450	12
4460	12
4470	12
4480	12
4490	12
