Seconds	Methods
10	3
20	3
30	3
40	3
50	3
60	4
70	4
80	4
90	4
100	4
110	4
120	4
130	4
140	4
150	4
160	4
170	4
180	4
190	4
200	4
210	4
220	4
230	4
240	4
250	4
260	4
270	4
280	4
290	4
300	4
310	5
320	5
330	5
340	5
350	5
360	5
370	5
380	5
390	5
400	5
410	5
420	5
430	5
440	5
450	5
460	5
470	5
480	5
490	5
500	5
510	5
520	5
530	5
540	5
550	5
560	5
570	5
580	5
590	5
600	5
610	5
620	5
630	5
640	5
650	5
660	5
670	5
680	5
690	5
700	5
710	5
720	5
730	5
740	5
750	5
760	5
770	5
780	5
790	5
800	5
810	5
820	5
830	5
840	5
850	5
860	5
870	5
880	5
890	5
900	5
910	5
920	5
930	5
940	5
950	5
960	5
970	5
980	5
990	5
1000	5
1010	5
1020	5
1030	5
1040	5
1050	5
1060	5
1070	5
1080	5
1090	5
1100	5
1110	5
1120	5
1130	5
1140	5
1150	5
1160	5
1170	5
1180	5
1190	5
1200	5
1210	5
1220	5
1230	5
1240	5
1250	5
1260	5
1270	5
1280	5
1290	5
1300	5
1310	5
1320	5
1330	5
1340	5
1350	5
1360	5
1370	5
1380	5
1390	5
1400	5
1410	5
1420	5
1430	5
1440	5
1450	5
1460	5
1470	5
1480	5
1490	5
1500	5
1510	5
1520	5
1530	5
1540	5
1550	5
1560	5
1570	5
1580	5
1590	5
1600	5
1610	5
1620	5
1630	5
1640	5
1650	5
1660	5
1670	5
1680	5
1690	5
1700	5
1710	5
1720	5
1730	5
1740	5
1750	5
1760	5
1770	5
1780	5
1790	5
1800	5
1810	5
1820	5
1830	5
1840	5
1850	5
1860	5
1870	5
1880	5
1890	5
1900	5
1910	5
1920	5
1930	5
1940	5
1950	5
1960	5
1970	5
1980	5
1990	5
2000	5
2010	5
2020	5
2030	5
2040	5
2050	5
2060	5
2070	5
2080	5
2090	5
2100	5
2110	5
2120	5
2130	5
2140	5
2150	5
2160	5
2170	5
2180	5
2190	5
2200	5
2210	5
2220	5
2230	5
2240	5
2250	5
2260	5
2270	5
2280	5
2290	5
2300	5
2310	5
2320	5
2330	5
2340	5
2350	5
2360	5
2370	5
2380	5
2390	5
2400	5
2410	5
2420	5
2430	5
2440	5
2450	5
2460	5
2470	5
2480	5
2490	5
2500	5
2510	5
2520	5
2530	5
2540	5
2550	5
2560	5
2570	5
2580	5
2590	5
2600	5
2610	5
2620	5
2630	5
2640	5
2650	5
