Seconds	Methods
10	4
20	4
30	4
40	4
50	4
60	4
70	4
80	4
90	4
100	4
110	4
120	4
130	4
140	4
150	4
160	4
170	4
180	4
190	4
200	4
210	4
220	4
230	4
240	4
250	6
260	6
270	6
280	6
290	6
300	6
310	6
320	6
330	6
340	6
350	6
360	6
370	6
380	6
390	6
400	6
410	6
420	6
430	6
440	6
450	6
460	6
470	6
480	6
490	6
500	6
510	6
520	6
530	6
540	6
550	6
560	6
570	6
580	6
590	6
600	6
610	6
620	6
630	6
640	6
650	6
660	6
670	6
680	6
690	6
700	6
710	6
720	6
730	6
740	6
750	6
760	6
770	6
780	6
790	6
800	6
810	6
820	6
830	6
840	6
850	6
860	6
870	6
880	6
890	6
900	6
910	6
920	6
930	6
940	6
950	6
960	6
970	6
980	6
990	6
1000	6
1010	6
1020	6
1030	6
1040	6
1050	6
1060	6
1070	6
1080	6
1090	6
1100	6
1110	6
1120	6
1130	6
1140	6
1150	6
1160	6
1170	6
1180	6
1190	6
1200	6
1210	6
1220	6
1230	6
1240	6
1250	6
1260	6
1270	6
1280	6
1290	6
1300	6
1310	6
1320	6
1330	6
1340	6
1350	6
1360	6
1370	6
1380	6
1390	6
1400	6
1410	6
1420	6
1430	6
1440	6
1450	6
1460	6
1470	6
1480	6
1490	6
1500	6
1510	6
1520	6
1530	6
1540	6
1550	6
1560	6
1570	6
1580	6
1590	6
1600	6
1610	6
1620	6
1630	6
1640	6
1650	6
1660	6
1670	6
1680	6
1690	6
1700	6
1710	6
1720	6
1730	6
1740	6
1750	6
1760	6
1770	6
1780	6
1790	6
1800	6
1810	6
1820	6
1830	6
1840	6
1850	6
1860	6
1870	6
1880	6
1890	6
1900	6
1910	6
1920	6
1930	6
1940	6
1950	6
1960	6
1970	6
1980	6
1990	6
2000	6
2010	6
2020	6
2030	6
2040	6
2050	6
2060	6
2070	6
2080	6
2090	6
2100	6
2110	6
2120	6
2130	6
2140	6
2150	6
2160	6
2170	6
2180	6
2190	6
2200	6
2210	6
2220	6
2230	6
2240	6
2250	6
2260	6
2270	6
2280	6
2290	6
2300	6
2310	6
2320	6
2330	6
2340	6
2350	6
2360	6
2370	6
2380	6
2390	6
2400	6
2410	6
2420	6
2430	6
2440	6
2450	6
2460	6
2470	6
2480	6
2490	6
2500	6
2510	6
2520	6
2530	6
2540	6
2550	6
2560	6
2570	6
2580	6
2590	6
2600	6
2610	6
2620	6
2630	6
2640	6
2650	6
2660	6
2670	6
2680	6
2690	6
2700	6
2710	6
2720	6
2730	6
2740	6
2750	6
2760	6
2770	6
2780	6
2790	6
2800	6
2810	6
2820	6
2830	6
2840	6
2850	6
2860	6
2870	6
2880	6
2890	6
2900	6
2910	6
2920	6
2930	6
2940	6
2950	6
2960	6
2970	6
2980	6
2990	6
3000	6
3010	6
3020	6
3030	6
3040	6
3050	6
3060	6
3070	6
3080	6
3090	6
3100	6
3110	6
3120	6
3130	6
3140	6
3150	6
3160	6
3170	6
3180	6
3190	6
3200	6
3210	6
3220	6
3230	6
3240	6
3250	6
3260	6
3270	6
3280	6
3290	6
3300	6
3310	6
3320	6
3330	6
3340	6
3350	6
3360	6
3370	6
3380	6
3390	6
3400	6
3410	6
3420	6
3430	6
3440	6
3450	6
3460	6
3470	6
3480	6
3490	6
3500	6
3510	6
3520	6
3530	6
3540	6
3550	6
3560	6
3570	6
3580	6
3590	6
3600	6
3610	6
3620	6
3630	6
3640	6
3650	6
3660	6
3670	6
3680	6
3690	6
3700	6
3710	6
3720	6
3730	6
3740	6
3750	6
3760	6
3770	6
3780	6
3790	6
3800	6
3810	6
3820	6
3830	6
3840	6
3850	6
3860	6
3870	6
3880	6
3890	6
3900	6
3910	6
3920	6
3930	6
3940	6
3950	6
3960	6
3970	6
3980	6
3990	6
4000	6
4010	6
4020	6
4030	6
4040	6
4050	6
4060	6
4070	6
4080	6
4090	6
4100	6
4110	6
4120	6
4130	6
4140	6
4150	6
4160	6
4170	6
4180	6
4190	6
4200	6
4210	6
4220	6
4230	6
4240	6
4250	6
4260	6
4270	6
4280	6
4290	6
4300	6
4310	6
4320	6
4330	6
4340	6
4350	6
4360	6
4370	6
4380	6
4390	6
4400	6
4410	6
4420	6
4430	6
4440	6
4450	6
4460	6
4470	6
4480	6
4490	6
4500	6
4510	6
4520	6
4530	6
4540	6
4550	6
4560	6
4570	6
4580	6
4590	6
4600	6
4610	6
4620	6
4630	6
4640	6
4650	6
4660	6
4670	6
4680	6
4690	6
4700	6
4710	6
4720	6
4730	6
4740	6
4750	6
4760	6
4770	6
4780	6
4790	6
4800	6
4810	6
4820	6
4830	6
4840	6
4850	6
4860	6
4870	6
4880	6
4890	6
4900	6
4910	6
4920	6
4930	6
4940	6
4950	6
4960	6
4970	6
4980	6
4990	6
5000	6
5010	6
5020	6
5030	6
5040	6
5050	6
5060	6
5070	6
5080	6
5090	6
5100	6
